date,SlowD,SlowK
2020-01-08 11:46:00,59.4118,32.9061
2020-01-08 11:47:00,35.0719,11.8319
2020-01-08 11:48:00,19.9761,15.1903
2020-01-08 11:49:00,20.8265,35.4574
2020-01-08 11:50:00,35.3475,55.3949
2020-01-08 11:51:00,54.5519,72.8033
2020-01-08 11:52:00,70.2648,82.596
2020-01-08 11:53:00,80.0058,84.618
2020-01-08 11:54:00,82.5077,80.309
2020-01-08 11:55:00,82.8366,83.5827
2020-01-08 11:56:00,81.2953,79.9941
2020-01-08 11:57:00,73.8686,58.0291
2020-01-08 11:58:00,59.4863,40.4356
2020-01-08 11:59:00,45.0269,36.616
2020-01-08 12:00:00,44.5105,56.4799
2020-01-08 12:01:00,55.3454,72.9403
2020-01-08 12:02:00,68.3301,75.5702
2020-01-08 12:03:00,74.6487,75.4358
2020-01-08 12:04:00,72.548,66.6381
2020-01-08 12:05:00,71.3182,71.8807
2020-01-08 12:06:00,73.5445,82.1147
2020-01-08 12:07:00,79.2355,83.7112
2020-01-08 12:08:00,85.4934,90.6544
2020-01-08 12:09:00,88.6753,91.6602
2020-01-08 12:10:00,91.2617,91.4705
2020-01-08 12:11:00,91.4641,91.2616
2020-01-08 12:12:00,87.4986,79.7637
2020-01-08 12:13:00,79.9603,68.8554
2020-01-08 12:14:00,65.3397,47.4
2020-01-08 12:15:00,56.9533,54.6044
2020-01-08 12:16:00,56.9745,68.9192
2020-01-08 12:17:00,69.4313,84.7704
2020-01-08 12:18:00,80.5945,88.094
2020-01-08 12:19:00,88.4499,92.4854
2020-01-08 12:20:00,92.7171,97.5717
2020-01-08 12:21:00,95.0515,95.0974
2020-01-08 12:22:00,96.1054,95.647
2020-01-08 12:23:00,95.0972,94.5471
2020-01-08 12:24:00,95.4947,96.29
2020-01-08 12:25:00,88.3255,74.1395
2020-01-08 12:26:00,75.7723,56.8875
2020-01-08 12:27:00,56.8919,39.6488
2020-01-08 12:28:00,52.8248,61.9381
2020-01-08 12:29:00,59.6128,77.2514
2020-01-08 12:30:00,77.6654,93.8067
2020-01-08 12:31:00,88.155,93.407
2020-01-08 12:32:00,94.2286,95.4723
2020-01-08 12:33:00,94.9492,95.9684
2020-01-08 12:34:00,92.8516,87.1141
2020-01-08 12:35:00,80.8736,59.5383
2020-01-08 12:36:00,59.6881,32.4119
2020-01-08 12:37:00,35.3687,14.156
2020-01-08 12:38:00,19.6117,12.2672
2020-01-08 12:39:00,13.41,13.8068
2020-01-08 12:40:00,15.9469,21.7667
2020-01-08 12:41:00,23.5075,34.9491
2020-01-08 12:42:00,36.1466,51.7239
2020-01-08 12:43:00,52.4299,70.6166
2020-01-08 12:44:00,66.9646,78.5534
2020-01-08 12:45:00,77.9664,84.7291
2020-01-08 12:46:00,81.4939,81.199
2020-01-08 12:47:00,85.004,89.0837
2020-01-08 12:48:00,85.0786,84.9531
2020-01-08 12:49:00,84.9098,80.6924
2020-01-08 12:50:00,75.535,60.9593
2020-01-08 12:51:00,63.3533,48.4082
2020-01-08 12:52:00,51.8849,46.287
2020-01-08 12:53:00,51.2619,59.0905
2020-01-08 12:54:00,59.2824,72.4695
2020-01-08 12:55:00,69.3799,76.5797
2020-01-08 12:56:00,72.7693,69.2586
2020-01-08 12:57:00,71.0436,67.2925
2020-01-08 12:58:00,67.6388,66.3654
2020-01-08 12:59:00,68.2555,71.1086
2020-01-08 13:00:00,65.0636,57.7167
2020-01-08 13:01:00,61.4955,55.6611
2020-01-08 13:02:00,53.1699,46.132
2020-01-08 13:03:00,48.8373,44.719
2020-01-08 13:04:00,40.2797,29.988
2020-01-08 13:05:00,36.0898,33.5625
2020-01-08 13:06:00,36.3131,45.3888
2020-01-08 13:07:00,47.8076,64.4716
2020-01-08 13:08:00,60.281,70.9826
2020-01-08 13:09:00,72.3384,81.561
2020-01-08 13:10:00,77.5508,80.1088
2020-01-08 13:11:00,78.0022,72.3368
2020-01-08 13:12:00,67.0597,48.7334
2020-01-08 13:13:00,54.0676,41.1325
2020-01-08 13:14:00,49.9608,60.0165
2020-01-08 13:15:00,61.3205,82.8127
2020-01-08 13:16:00,74.9755,82.0975
2020-01-08 13:17:00,71.4896,49.5586
