date,SMA
2020-01-08 12:41:00,302.1301
2020-01-08 12:42:00,302.0255
2020-01-08 12:43:00,301.9974
2020-01-08 12:44:00,301.9836
2020-01-08 12:45:00,302.0175
2020-01-08 12:46:00,302.085
2020-01-08 12:47:00,302.1753
2020-01-08 12:48:00,302.2519
2020-01-08 12:49:00,302.3431
2020-01-08 12:50:00,302.4078
2020-01-08 12:51:00,302.4371
2020-01-08 12:52:00,302.4896
2020-01-08 12:53:00,302.5295
2020-01-08 12:54:00,302.5508
2020-01-08 12:55:00,302.5705
2020-01-08 12:56:00,302.5757
2020-01-08 12:57:00,302.5793
2020-01-08 12:58:00,302.6064
2020-01-08 12:59:00,302.6395
2020-01-08 13:00:00,302.6422
2020-01-08 13:01:00,302.6588
2020-01-08 13:02:00,302.6674
2020-01-08 13:03:00,302.6536
2020-01-08 13:04:00,302.6468
2020-01-08 13:05:00,302.6394
2020-01-08 13:06:00,302.6341
2020-01-08 13:07:00,302.6335
2020-01-08 13:08:00,302.6396
2020-01-08 13:09:00,302.6526
2020-01-08 13:10:00,302.6734
2020-01-08 13:11:00,302.7008
2020-01-08 13:12:00,302.7208
2020-01-08 13:13:00,302.7469
2020-01-08 13:14:00,302.7825
2020-01-08 13:15:00,302.8246
2020-01-08 13:16:00,302.8548
2020-01-08 13:17:00,302.834
2020-01-08 13:18:00,302.8083
2020-01-08 13:19:00,302.7915
2020-01-08 13:20:00,302.7855
2020-01-08 13:21:00,302.7506
2020-01-08 13:22:00,302.6931
2020-01-08 13:23:00,302.6323
2020-01-08 13:24:00,302.5871
2020-01-08 13:25:00,302.5679
2020-01-08 13:26:00,302.5828
2020-01-08 13:27:00,302.6186
2020-01-08 13:28:00,302.6545
2020-01-08 13:29:00,302.7064
2020-01-08 13:30:00,302.7641
2020-01-08 13:31:00,302.8079
2020-01-08 13:32:00,302.8616
2020-01-08 13:33:00,302.9295
2020-01-08 13:34:00,302.9846
2020-01-08 13:35:00,302.9934
2020-01-08 13:36:00,302.9996
2020-01-08 13:37:00,303.0102
2020-01-08 13:38:00,303.0276
2020-01-08 13:39:00,303.0256
2020-01-08 13:40:00,303.0281
2020-01-08 13:41:00,303.0127
2020-01-08 13:42:00,302.9915
2020-01-08 13:43:00,303.0038
2020-01-08 13:44:00,303.02
2020-01-08 13:45:00,303.0275
2020-01-08 13:46:00,303.0112
2020-01-08 13:47:00,303.0169
2020-01-08 13:48:00,303.0006
2020-01-08 13:49:00,302.9835
2020-01-08 13:50:00,302.9548
2020-01-08 13:51:00,302.9245
2020-01-08 13:52:00,302.8927
2020-01-08 13:53:00,302.8565
2020-01-08 13:54:00,302.834
2020-01-08 13:55:00,302.8115
2020-01-08 13:56:00,302.8053
2020-01-08 13:57:00,302.799
2020-01-08 13:58:00,302.7906
2020-01-08 13:59:00,302.7586
2020-01-08 14:00:00,302.7279
2020-01-08 14:01:00,302.7061
2020-01-08 14:02:00,302.6811
2020-01-08 14:03:00,302.6636
2020-01-08 14:04:00,302.648
2020-01-08 14:05:00,302.633
2020-01-08 14:06:00,302.6364
2020-01-08 14:07:00,302.6714
2020-01-08 14:08:00,302.7027
2020-01-08 14:09:00,302.74
2020-01-08 14:10:00,302.7784
2020-01-08 14:11:00,302.7984
2020-01-08 14:12:00,302.8209
2020-01-08 14:13:00,302.8522
2020-01-08 14:14:00,302.8712
2020-01-08 14:15:00,302.8736
2020-01-08 14:16:00,302.8786
2020-01-08 14:17:00,302.8863
2020-01-08 14:18:00,302.8898
2020-01-08 14:19:00,302.8985
2020-01-08 14:20:00,302.8879
2020-01-08 14:21:00,302.8791
2020-01-08 14:22:00,302.8714
2020-01-08 14:23:00,302.8696
2020-01-08 14:24:00,302.8571
2020-01-08 14:25:00,302.8375
