date,OBV
2020-01-08 12:03:00,4292158.0
2020-01-08 12:04:00,4352568.0
2020-01-08 12:05:00,4419663.0
2020-01-08 12:06:00,4534213.0
2020-01-08 12:07:00,4457951.0
2020-01-08 12:08:00,4522182.0
2020-01-08 12:09:00,4708359.0
2020-01-08 12:10:00,4561996.0
2020-01-08 12:11:00,4663236.0
2020-01-08 12:12:00,4560480.0
2020-01-08 12:13:00,4491156.0
2020-01-08 12:14:00,4549048.0
2020-01-08 12:15:00,4601703.0
2020-01-08 12:16:00,4692320.0
2020-01-08 12:17:00,4628948.0
2020-01-08 12:18:00,4706840.0
2020-01-08 12:19:00,4771132.0
2020-01-08 12:20:00,4892842.0
2020-01-08 12:21:00,4974660.0
2020-01-08 12:22:00,5054113.0
2020-01-08 12:23:00,5249043.0
2020-01-08 12:24:00,5408422.0
2020-01-08 12:25:00,5279073.0
2020-01-08 12:26:00,5368723.0
2020-01-08 12:27:00,5445631.0
2020-01-08 12:28:00,5582772.0
2020-01-08 12:29:00,5665811.0
2020-01-08 12:30:00,5772089.0
2020-01-08 12:31:00,5921264.0
2020-01-08 12:32:00,6086745.0
2020-01-08 12:33:00,6216690.0
2020-01-08 12:34:00,6012639.0
2020-01-08 12:35:00,5887239.0
2020-01-08 12:36:00,5729127.0
2020-01-08 12:37:00,5572598.0
2020-01-08 12:38:00,5451683.0
2020-01-08 12:39:00,5317466.0
2020-01-08 12:40:00,5388071.0
2020-01-08 12:41:00,5312783.0
2020-01-08 12:42:00,5416558.0
2020-01-08 12:43:00,5537723.0
2020-01-08 12:44:00,5405631.0
2020-01-08 12:45:00,5455246.0
2020-01-08 12:46:00,5560443.0
2020-01-08 12:47:00,5627101.0
2020-01-08 12:48:00,5746017.0
2020-01-08 12:49:00,5827442.0
2020-01-08 12:50:00,5781247.0
2020-01-08 12:51:00,5843250.0
2020-01-08 12:52:00,5887747.0
2020-01-08 12:53:00,5937240.0
2020-01-08 12:54:00,5900551.0
2020-01-08 12:55:00,5946723.0
2020-01-08 12:56:00,5889611.0
2020-01-08 12:57:00,5934780.0
2020-01-08 12:58:00,5971547.0
2020-01-08 12:59:00,6063082.0
2020-01-08 13:00:00,6008155.0
2020-01-08 13:01:00,6047750.0
2020-01-08 13:02:00,6009932.0
2020-01-08 13:03:00,5946492.0
2020-01-08 13:04:00,5920048.0
2020-01-08 13:05:00,5969610.0
2020-01-08 13:06:00,5998787.0
2020-01-08 13:07:00,6042401.0
2020-01-08 13:08:00,5972830.0
2020-01-08 13:09:00,6027943.0
2020-01-08 13:10:00,5982903.0
2020-01-08 13:11:00,5930811.0
2020-01-08 13:12:00,5912221.0
2020-01-08 13:13:00,5941413.0
2020-01-08 13:14:00,5992945.0
2020-01-08 13:15:00,6164458.0
2020-01-08 13:16:00,6105825.0
2020-01-08 13:17:00,6022015.0
2020-01-08 13:18:00,5981630.0
2020-01-08 13:19:00,5930937.0
2020-01-08 13:20:00,5975832.0
2020-01-08 13:21:00,5931719.0
2020-01-08 13:22:00,5885374.0
2020-01-08 13:23:00,5923001.0
2020-01-08 13:24:00,5885659.0
2020-01-08 13:25:00,5849557.0
2020-01-08 13:26:00,5898303.0
2020-01-08 13:27:00,5959733.0
2020-01-08 13:28:00,5984913.0
2020-01-08 13:29:00,5946711.0
2020-01-08 13:30:00,5911490.0
2020-01-08 13:31:00,5965545.0
2020-01-08 13:32:00,6002543.0
2020-01-08 13:33:00,6065289.0
2020-01-08 13:34:00,6182084.0
2020-01-08 13:35:00,6118144.0
2020-01-08 13:36:00,6171004.0
2020-01-08 13:37:00,6224626.0
2020-01-08 13:38:00,6265555.0
2020-01-08 13:39:00,6239563.0
2020-01-08 13:40:00,6306841.0
2020-01-08 13:41:00,6278105.0
2020-01-08 13:42:00,6311483.0
2020-01-08 13:43:00,6352514.0
2020-01-08 13:44:00,6378649.0
2020-01-08 13:45:00,6339344.0
2020-01-08 13:46:00,6267372.0
2020-01-08 13:47:00,6291798.0
2020-01-08 13:48:00,6262221.0
2020-01-08 13:49:00,6228947.0
2020-01-08 13:50:00,6179726.0
2020-01-08 13:51:00,6213025.0
2020-01-08 13:52:00,6244943.0
2020-01-08 13:53:00,6218061.0
2020-01-08 13:54:00,6184745.0
2020-01-08 13:55:00,6214349.0
2020-01-08 13:56:00,6248228.0
2020-01-08 13:57:00,6227469.0
2020-01-08 13:58:00,6181303.0
2020-01-08 13:59:00,6134531.0
