date,1. open,2. high,3. low,4. close,5. volume
2020-01-08 09:31:00,297.416,297.416,297.416,297.416,1639675.0
2020-01-08 09:32:00,297.37,298.63,297.35,298.2258,289968.0
2020-01-08 09:33:00,298.24,299.04,298.17,298.83,273701.0
2020-01-08 09:34:00,298.53,298.53,298.53,298.53,192726.0
2020-01-08 09:35:00,298.4701,298.6996,298.4701,298.4875,104379.0
2020-01-08 09:36:00,298.5324,298.5324,298.495,298.495,116196.0
2020-01-08 09:37:00,298.57,298.57,298.02,298.02,138960.0
2020-01-08 09:38:00,298.05,298.2901,297.88,298.2901,152172.0
2020-01-08 09:39:00,298.38,298.64,298.38,298.43,158336.0
2020-01-08 09:40:00,298.366,298.366,298.07,298.07,106524.0
2020-01-08 09:41:00,298.08,298.36,298.08,298.36,104355.0
2020-01-08 09:42:00,298.4582,298.4582,298.43,298.43,85799.0
2020-01-08 09:43:00,298.41,298.53,298.41,298.53,89801.0
2020-01-08 09:44:00,298.5493,298.5493,298.3,298.43,49880.0
2020-01-08 09:45:00,298.4854,298.7,298.4854,298.7,100815.0
2020-01-08 09:46:00,298.6263,298.6263,298.29,298.29,77482.0
2020-01-08 09:47:00,298.3301,298.3301,297.89,297.89,160667.0
2020-01-08 09:48:00,297.9,298.255,297.8898,298.255,79051.0
2020-01-08 09:49:00,298.25,298.33,298.21,298.21,60868.0
2020-01-08 09:50:00,298.21,298.21,298.06,298.06,48937.0
2020-01-08 09:51:00,298.1102,298.15,298.1102,298.15,46840.0
2020-01-08 09:52:00,298.16,298.16,298.0088,298.0088,64008.0
2020-01-08 09:53:00,297.99,298.01,297.96,298.01,72989.0
2020-01-08 09:54:00,298.0593,298.0593,298.0,298.0012,57742.0
2020-01-08 09:55:00,298.03,298.2971,298.03,298.25,75082.0
2020-01-08 09:56:00,298.31,298.43,298.31,298.43,79309.0
2020-01-08 09:57:00,298.456,298.456,298.43,298.43,79816.0
2020-01-08 09:58:00,298.41,298.41,298.25,298.25,71861.0
2020-01-08 09:59:00,298.21,298.28,298.1621,298.25,40837.0
2020-01-08 10:00:00,298.23,298.46,298.2,298.37,48327.0
2020-01-08 10:01:00,298.42,298.55,298.39,298.4701,57961.0
2020-01-08 10:02:00,298.48,298.58,298.38,298.43,58272.0
2020-01-08 10:03:00,298.4035,298.6167,298.4,298.58,57661.0
2020-01-08 10:04:00,298.5675,298.69,298.44,298.4478,60945.0
2020-01-08 10:05:00,298.4407,298.5,298.3,298.43,53808.0
2020-01-08 10:06:00,298.43,298.45,298.15,298.15,61347.0
2020-01-08 10:07:00,298.16,298.33,298.11,298.33,49481.0
2020-01-08 10:08:00,298.34,298.5,298.34,298.41,45787.0
2020-01-08 10:09:00,298.41,298.48,298.2843,298.4755,45450.0
2020-01-08 10:10:00,298.49,298.51,298.265,298.27,57468.0
2020-01-08 10:11:00,298.26,298.3388,298.16,298.26,89854.0
2020-01-08 10:12:00,298.25,298.26,298.11,298.2,48434.0
2020-01-08 10:13:00,298.2,298.52,298.2,298.5,60811.0
2020-01-08 10:14:00,298.5,298.58,298.3396,298.4,62947.0
2020-01-08 10:15:00,298.4219,298.6132,298.41,298.54,46736.0
2020-01-08 10:16:00,298.57,298.76,298.506,298.7,76923.0
2020-01-08 10:17:00,298.69,298.69,298.37,298.4,80839.0
2020-01-08 10:18:00,298.42,298.4932,298.36,298.49,43496.0
2020-01-08 10:19:00,298.49,298.5199,298.3701,298.42,31923.0
2020-01-08 10:20:00,298.42,298.6,298.415,298.598,28886.0
2020-01-08 10:21:00,298.6,298.63,298.4,298.4,39101.0
2020-01-08 10:22:00,298.4015,298.42,297.95,298.168,185457.0
2020-01-08 10:23:00,298.17,298.35,298.0786,298.275,52623.0
2020-01-08 10:24:00,298.26,298.38,298.17,298.3601,61467.0
2020-01-08 10:25:00,298.36,298.4,298.24,298.28,37868.0
2020-01-08 10:26:00,298.3,298.445,298.24,298.27,42801.0
2020-01-08 10:27:00,298.27,298.35,298.19,298.33,38687.0
2020-01-08 10:28:00,298.3215,298.49,298.2796,298.35,37282.0
2020-01-08 10:29:00,298.365,298.49,298.35,298.41,32283.0
2020-01-08 10:30:00,298.4243,298.54,298.41,298.47,50041.0
2020-01-08 10:31:00,298.47,298.49,298.2852,298.42,33215.0
2020-01-08 10:32:00,298.41,298.52,298.29,298.43,39865.0
2020-01-08 10:33:00,298.41,298.66,298.3914,298.44,69017.0
2020-01-08 10:34:00,298.45,298.45,298.25,298.35,34393.0
2020-01-08 10:35:00,298.36,298.42,298.236,298.3,43064.0
2020-01-08 10:36:00,298.29,298.31,298.0666,298.1305,97841.0
2020-01-08 10:37:00,298.14,298.33,298.1288,298.1764,65813.0
2020-01-08 10:38:00,298.18,298.2143,298.08,298.14,43930.0
2020-01-08 10:39:00,298.1201,298.25,298.03,298.12,46409.0
2020-01-08 10:40:00,298.14,298.22,298.11,298.15,44551.0
2020-01-08 10:41:00,298.15,298.2,298.06,298.16,38241.0
2020-01-08 10:42:00,298.1,298.1778,297.98,298.03,74895.0
2020-01-08 10:43:00,298.0225,298.14,297.99,298.099,32466.0
2020-01-08 10:44:00,298.07,298.13,298.0,298.03,44424.0
2020-01-08 10:45:00,298.03,298.03,297.79,297.8305,75553.0
2020-01-08 10:46:00,297.8265,297.92,297.7633,297.88,63818.0
2020-01-08 10:47:00,297.8783,297.93,297.84,297.88,31757.0
2020-01-08 10:48:00,297.91,297.91,297.91,297.91,3699.0
2020-01-08 10:49:00,297.6102,297.6102,297.57,297.6,169253.0
2020-01-08 10:50:00,297.5883,297.64,297.37,297.6343,84048.0
2020-01-08 10:51:00,297.62,297.72,297.5701,297.61,47599.0
2020-01-08 10:52:00,297.6,297.76,297.59,297.7,39375.0
2020-01-08 10:53:00,297.7094,297.84,297.6613,297.74,49239.0
2020-01-08 10:54:00,297.7168,297.89,297.7168,297.89,35441.0
2020-01-08 10:55:00,297.8964,297.9,297.81,297.85,42176.0
2020-01-08 10:56:00,297.8781,297.9,297.7612,297.78,62633.0
2020-01-08 10:57:00,297.78,297.82,297.66,297.69,37683.0
2020-01-08 10:58:00,297.6974,297.9,297.6974,297.87,29629.0
2020-01-08 10:59:00,297.8773,297.91,297.81,297.88,45151.0
2020-01-08 11:00:00,297.88,297.9,297.73,297.73,51956.0
2020-01-08 11:01:00,297.73,297.8187,297.6,297.73,47848.0
2020-01-08 11:02:00,297.73,297.74,297.5,297.58,59456.0
2020-01-08 11:03:00,297.59,297.76,297.5886,297.67,62108.0
2020-01-08 11:04:00,297.67,297.69,297.56,297.6705,62065.0
2020-01-08 11:05:00,297.67,297.85,297.67,297.84,32681.0
2020-01-08 11:06:00,297.84,297.92,297.7,297.91,45267.0
2020-01-08 11:07:00,297.89,297.94,297.82,297.94,32048.0
2020-01-08 11:08:00,297.93,298.06,297.8801,298.0,90862.0
2020-01-08 11:09:00,298.01,298.111,297.97,298.1044,78726.0
2020-01-08 11:10:00,298.11,298.13,298.05,298.1299,52648.0
2020-01-08 11:11:00,298.125,298.27,298.0857,298.09,63793.0
2020-01-08 11:12:00,298.11,298.17,298.11,298.1368,8297.0
2020-01-08 11:13:00,298.11,298.12,298.11,298.11,48679.0
2020-01-08 11:14:00,298.1142,298.1344,298.1142,298.1281,3111.0
2020-01-08 11:17:00,298.24,298.39,298.21,298.37,161623.0
2020-01-08 11:18:00,298.377,298.44,298.36,298.417,26858.0
2020-01-08 11:19:00,298.4144,298.49,298.405,298.44,44558.0
2020-01-08 11:21:00,298.48,298.4899,298.39,298.4389,89572.0
2020-01-08 11:22:00,298.47,298.5,298.27,298.3105,40749.0
2020-01-08 11:23:00,298.3189,298.42,298.23,298.2819,41103.0
2020-01-08 11:24:00,298.285,298.4,298.27,298.3401,12967.0
2020-01-08 11:25:00,298.3492,298.3807,298.27,298.345,27178.0
2020-01-08 11:26:00,298.345,298.4,298.27,298.2823,22010.0
2020-01-08 11:27:00,298.27,298.335,298.2357,298.29,22852.0
2020-01-08 11:28:00,298.3082,298.3299,298.15,298.15,46226.0
2020-01-08 11:29:00,298.18,298.58,297.99,298.5716,163605.0
2020-01-08 11:30:00,298.6,299.27,298.57,298.9712,298309.0
2020-01-08 11:31:00,298.682,299.09,298.42,299.0396,126035.0
2020-01-08 11:32:00,299.01,299.04,298.45,298.65,100218.0
2020-01-08 11:33:00,298.6926,298.83,298.4401,298.5,98819.0
2020-01-08 11:34:00,298.47,298.678,298.41,298.678,68004.0
2020-01-08 11:35:00,298.68,298.96,298.56,298.56,99282.0
2020-01-08 11:36:00,298.596,298.85,298.56,298.8404,66118.0
2020-01-08 11:37:00,298.8649,299.2589,298.8386,298.9849,107695.0
2020-01-08 11:38:00,298.98,299.26,298.9352,299.1799,109118.0
2020-01-08 11:41:00,299.8668,299.9,299.83,299.8805,480399.0
2020-01-08 11:42:00,299.89,300.05,299.8602,300.0011,242592.0
2020-01-08 11:43:00,300.0332,300.2861,299.9879,300.0359,159987.0
2020-01-08 11:44:00,300.0198,300.0769,299.86,299.95,110774.0
2020-01-08 11:45:00,299.9506,300.03,299.82,299.93,72369.0
2020-01-08 11:46:00,299.9162,300.04,299.81,299.81,129254.0
2020-01-08 11:47:00,299.81,299.9264,299.56,299.6464,129413.0
2020-01-08 11:48:00,299.6467,299.77,299.48,299.681,143551.0
2020-01-08 11:49:00,299.6802,299.92,299.68,299.8205,95658.0
2020-01-08 11:50:00,299.81,299.96,299.76,299.8816,84645.0
2020-01-08 11:51:00,299.8983,299.96,299.79,299.8923,61761.0
2020-01-08 11:52:00,299.8795,300.09,299.8766,300.0301,101266.0
2020-01-08 11:53:00,300.0317,300.13,299.96,300.03,119575.0
2020-01-08 11:54:00,300.0389,300.1299,299.95,300.03,88714.0
2020-01-08 11:55:00,300.0365,300.19,300.0,300.19,82558.0
2020-01-08 11:56:00,300.17,300.21,300.02,300.1,62062.0
2020-01-08 11:57:00,300.13,300.13,299.94,299.9591,92463.0
