date,Aroon Up,Aroon Down
2020-01-13 10:31:00,8.3333,0.0
2020-01-13 10:32:00,6.6667,0.0
2020-01-13 10:33:00,5.0,33.3333
2020-01-13 10:34:00,3.3333,31.6667
2020-01-13 10:35:00,1.6667,30.0
2020-01-13 10:36:00,0.0,28.3333
2020-01-13 10:37:00,3.3333,26.6667
2020-01-13 10:38:00,1.6667,25.0
2020-01-13 10:39:00,0.0,23.3333
2020-01-13 10:40:00,0.0,100.0
2020-01-13 10:41:00,0.0,100.0
2020-01-13 10:42:00,0.0,100.0
2020-01-13 10:43:00,45.0,98.3333
2020-01-13 10:44:00,43.3333,96.6667
2020-01-13 10:45:00,41.6667,95.0
2020-01-13 10:46:00,40.0,93.3333
2020-01-13 10:47:00,38.3333,91.6667
2020-01-13 10:48:00,36.6667,90.0
2020-01-13 10:49:00,35.0,88.3333
2020-01-13 10:50:00,33.3333,100.0
2020-01-13 10:51:00,31.6667,100.0
2020-01-13 10:52:00,30.0,98.3333
2020-01-13 10:53:00,28.3333,96.6667
2020-01-13 10:54:00,26.6667,95.0
2020-01-13 10:55:00,25.0,93.3333
2020-01-13 10:56:00,23.3333,91.6667
2020-01-13 10:57:00,21.6667,90.0
2020-01-13 10:58:00,20.0,88.3333
2020-01-13 10:59:00,18.3333,86.6667
2020-01-13 11:01:00,16.6667,85.0
2020-01-13 11:02:00,15.0,83.3333
2020-01-13 11:04:00,13.3333,81.6667
2020-01-13 11:05:00,11.6667,80.0
2020-01-13 11:06:00,10.0,78.3333
2020-01-13 11:07:00,8.3333,76.6667
2020-01-13 11:08:00,6.6667,75.0
2020-01-13 11:09:00,5.0,73.3333
2020-01-13 11:10:00,3.3333,71.6667
2020-01-13 11:11:00,1.6667,70.0
2020-01-13 11:12:00,0.0,68.3333
2020-01-13 11:13:00,13.3333,66.6667
2020-01-13 11:14:00,11.6667,65.0
2020-01-13 11:15:00,10.0,63.3333
2020-01-13 11:16:00,8.3333,61.6667
2020-01-13 11:17:00,6.6667,60.0
2020-01-13 11:18:00,5.0,58.3333
2020-01-13 11:19:00,3.3333,56.6667
2020-01-13 11:20:00,1.6667,55.0
2020-01-13 11:21:00,0.0,53.3333
2020-01-13 11:22:00,0.0,51.6667
2020-01-13 11:23:00,0.0,50.0
2020-01-13 11:24:00,1.6667,48.3333
2020-01-13 11:25:00,0.0,46.6667
2020-01-13 11:26:00,0.0,45.0
2020-01-13 11:27:00,13.3333,43.3333
2020-01-13 11:28:00,11.6667,41.6667
2020-01-13 11:29:00,10.0,40.0
2020-01-13 11:30:00,8.3333,38.3333
2020-01-13 11:31:00,6.6667,36.6667
