date,Aroon Down,Aroon Up
2020-01-13 10:31:00,98.3333,1.6667
2020-01-13 10:32:00,100.0,0.0
2020-01-13 10:33:00,100.0,45.0
2020-01-13 10:34:00,98.3333,43.3333
2020-01-13 10:35:00,96.6667,41.6667
2020-01-13 10:36:00,95.0,40.0
2020-01-13 10:37:00,93.3333,38.3333
2020-01-13 10:38:00,91.6667,36.6667
2020-01-13 10:39:00,90.0,35.0
2020-01-13 10:40:00,88.3333,33.3333
2020-01-13 10:41:00,86.6667,31.6667
2020-01-13 10:42:00,85.0,30.0
2020-01-13 10:43:00,83.3333,28.3333
2020-01-13 10:44:00,81.6667,26.6667
2020-01-13 10:45:00,80.0,25.0
2020-01-13 10:46:00,78.3333,23.3333
2020-01-13 10:47:00,76.6667,21.6667
2020-01-13 10:48:00,75.0,20.0
2020-01-13 10:49:00,73.3333,18.3333
2020-01-13 10:50:00,71.6667,16.6667
2020-01-13 10:51:00,70.0,15.0
2020-01-13 10:52:00,68.3333,13.3333
2020-01-13 10:53:00,66.6667,11.6667
2020-01-13 10:54:00,65.0,10.0
2020-01-13 10:55:00,63.3333,8.3333
2020-01-13 10:56:00,61.6667,6.6667
2020-01-13 10:57:00,60.0,5.0
2020-01-13 10:58:00,58.3333,3.3333
2020-01-13 10:59:00,56.6667,1.6667
2020-01-13 11:04:00,55.0,0.0
2020-01-13 11:05:00,53.3333,5.0
2020-01-13 11:06:00,51.6667,3.3333
2020-01-13 11:07:00,50.0,1.6667
2020-01-13 11:08:00,48.3333,0.0
2020-01-13 11:09:00,46.6667,3.3333
2020-01-13 11:10:00,45.0,1.6667
2020-01-13 11:11:00,43.3333,0.0
2020-01-13 11:12:00,41.6667,5.0
2020-01-13 11:13:00,40.0,100.0
2020-01-13 11:14:00,38.3333,100.0
2020-01-13 11:15:00,36.6667,98.3333
2020-01-13 11:16:00,35.0,96.6667
2020-01-13 11:17:00,33.3333,95.0
2020-01-13 11:18:00,31.6667,93.3333
2020-01-13 11:19:00,30.0,91.6667
2020-01-13 11:20:00,28.3333,90.0
2020-01-13 11:21:00,26.6667,88.3333
2020-01-13 11:22:00,25.0,86.6667
2020-01-13 11:23:00,23.3333,85.0
2020-01-13 11:24:00,21.6667,83.3333
2020-01-13 11:25:00,20.0,81.6667
2020-01-13 11:26:00,18.3333,80.0
2020-01-13 11:27:00,16.6667,78.3333
2020-01-13 11:28:00,15.0,76.6667
2020-01-13 11:29:00,13.3333,75.0
2020-01-13 11:30:00,11.6667,73.3333
2020-01-13 11:31:00,10.0,71.6667
2020-01-13 11:32:00,8.3333,70.0
2020-01-13 11:33:00,6.6667,68.3333
2020-01-13 11:34:00,5.0,100.0
2020-01-13 11:35:00,3.3333,98.3333
2020-01-13 11:36:00,1.6667,96.6667
2020-01-13 11:37:00,0.0,95.0
2020-01-13 11:38:00,1.6667,93.3333
2020-01-13 11:39:00,0.0,91.6667
2020-01-13 11:40:00,0.0,90.0
2020-01-13 11:41:00,6.6667,88.3333
2020-01-13 11:42:00,5.0,86.6667
2020-01-13 11:43:00,3.3333,85.0
2020-01-13 11:44:00,1.6667,83.3333
2020-01-13 11:45:00,0.0,81.6667
2020-01-13 11:46:00,5.0,80.0
2020-01-13 11:47:00,3.3333,78.3333
2020-01-13 11:48:00,1.6667,76.6667
2020-01-13 11:49:00,0.0,75.0
2020-01-13 11:50:00,0.0,73.3333
2020-01-13 11:51:00,3.3333,71.6667
2020-01-13 11:52:00,1.6667,70.0
2020-01-13 11:53:00,0.0,68.3333
2020-01-13 11:54:00,3.3333,66.6667
2020-01-13 11:57:00,1.6667,65.0
2020-01-13 11:58:00,0.0,63.3333
2020-01-13 11:59:00,10.0,100.0
2020-01-13 12:00:00,8.3333,100.0
2020-01-13 12:01:00,6.6667,100.0
2020-01-13 12:02:00,5.0,100.0
2020-01-13 12:03:00,3.3333,100.0
2020-01-13 12:04:00,1.6667,100.0
2020-01-13 12:05:00,0.0,100.0
2020-01-13 12:06:00,0.0,98.3333
2020-01-13 12:07:00,0.0,96.6667
2020-01-13 12:08:00,1.6667,95.0
2020-01-13 12:09:00,0.0,93.3333
2020-01-13 12:10:00,0.0,91.6667
2020-01-13 12:11:00,0.0,100.0
2020-01-13 12:12:00,0.0,100.0
2020-01-13 12:13:00,0.0,98.3333
2020-01-13 12:14:00,28.3333,96.6667
2020-01-13 12:15:00,26.6667,95.0
2020-01-13 12:16:00,25.0,93.3333
2020-01-13 12:17:00,23.3333,91.6667
2020-01-13 12:18:00,21.6667,100.0
2020-01-13 12:19:00,20.0,100.0
2020-01-13 12:20:00,18.3333,98.3333
2020-01-13 12:21:00,16.6667,100.0
2020-01-13 12:22:00,15.0,100.0
2020-01-13 12:23:00,13.3333,98.3333
2020-01-13 12:24:00,11.6667,96.6667
2020-01-13 12:25:00,10.0,100.0
2020-01-13 12:26:00,8.3333,100.0
2020-01-13 12:27:00,6.6667,98.3333
2020-01-13 12:28:00,5.0,96.6667
2020-01-13 12:29:00,3.3333,95.0
2020-01-13 12:30:00,1.6667,93.3333
2020-01-13 12:31:00,0.0,100.0
2020-01-13 12:32:00,0.0,100.0
2020-01-13 12:33:00,0.0,98.3333
2020-01-13 12:34:00,8.3333,96.6667
2020-01-13 12:35:00,6.6667,95.0
2020-01-13 12:36:00,5.0,93.3333
2020-01-13 12:37:00,3.3333,91.6667
2020-01-13 12:38:00,1.6667,90.0
2020-01-13 12:39:00,0.0,88.3333
2020-01-13 12:40:00,0.0,86.6667
2020-01-13 12:41:00,0.0,85.0
2020-01-13 12:42:00,0.0,83.3333
2020-01-13 12:43:00,5.0,81.6667
2020-01-13 12:44:00,3.3333,80.0
2020-01-13 12:45:00,1.6667,78.3333
2020-01-13 12:46:00,0.0,76.6667
2020-01-13 12:47:00,0.0,75.0
2020-01-13 12:48:00,13.3333,73.3333
2020-01-13 12:49:00,11.6667,71.6667
2020-01-13 12:50:00,10.0,70.0
2020-01-13 12:51:00,8.3333,68.3333
2020-01-13 12:52:00,6.6667,66.6667
2020-01-13 12:53:00,5.0,65.0
2020-01-13 12:54:00,3.3333,100.0
2020-01-13 12:55:00,1.6667,100.0
2020-01-13 12:56:00,0.0,100.0
2020-01-13 12:57:00,1.6667,100.0
2020-01-13 12:58:00,0.0,100.0
2020-01-13 12:59:00,0.0,98.3333
2020-01-13 13:00:00,0.0,96.6667
2020-01-13 13:01:00,11.6667,95.0
2020-01-13 13:02:00,10.0,93.3333
2020-01-13 13:03:00,8.3333,91.6667
2020-01-13 13:04:00,6.6667,100.0
2020-01-13 13:05:00,5.0,100.0
2020-01-13 13:06:00,3.3333,100.0
2020-01-13 13:07:00,1.6667,98.3333
2020-01-13 13:08:00,0.0,96.6667
2020-01-13 13:09:00,0.0,95.0
2020-01-13 13:10:00,0.0,93.3333
2020-01-13 13:11:00,0.0,100.0
2020-01-13 13:12:00,3.3333,98.3333
2020-01-13 13:13:00,1.6667,100.0
2020-01-13 13:14:00,0.0,98.3333
2020-01-13 13:15:00,0.0,96.6667
2020-01-13 13:16:00,1.6667,95.0
2020-01-13 13:17:00,0.0,93.3333
2020-01-13 13:18:00,1.6667,91.6667
2020-01-13 13:19:00,0.0,90.0
2020-01-13 13:20:00,0.0,100.0
2020-01-13 13:21:00,0.0,100.0
2020-01-13 13:22:00,11.6667,100.0
2020-01-13 13:23:00,10.0,98.3333
2020-01-13 13:24:00,8.3333,96.6667
2020-01-13 13:25:00,6.6667,95.0
2020-01-13 13:26:00,5.0,93.3333
2020-01-13 13:27:00,3.3333,91.6667
2020-01-13 13:28:00,1.6667,100.0
2020-01-13 13:29:00,0.0,100.0
2020-01-13 13:30:00,16.6667,100.0
2020-01-13 13:31:00,15.0,100.0
2020-01-13 13:32:00,13.3333,100.0
2020-01-13 13:33:00,11.6667,98.3333
2020-01-13 13:34:00,10.0,96.6667
2020-01-13 13:35:00,8.3333,95.0
2020-01-13 13:36:00,6.6667,93.3333
2020-01-13 13:37:00,5.0,91.6667
2020-01-13 13:38:00,3.3333,90.0
2020-01-13 13:39:00,1.6667,88.3333
2020-01-13 13:40:00,0.0,86.6667
2020-01-13 13:41:00,0.0,85.0
2020-01-13 13:42:00,0.0,83.3333
2020-01-13 13:43:00,0.0,100.0
2020-01-13 13:44:00,38.3333,98.3333
2020-01-13 13:45:00,36.6667,96.6667
2020-01-13 13:46:00,35.0,95.0
2020-01-13 13:47:00,33.3333,93.3333
2020-01-13 13:48:00,31.6667,91.6667
2020-01-13 13:49:00,30.0,90.0
2020-01-13 13:50:00,28.3333,88.3333
2020-01-13 13:51:00,26.6667,86.6667
2020-01-13 13:52:00,25.0,100.0
2020-01-13 13:53:00,23.3333,98.3333
2020-01-13 13:54:00,21.6667,96.6667
2020-01-13 13:55:00,20.0,95.0
2020-01-13 13:56:00,18.3333,93.3333
2020-01-13 13:57:00,16.6667,91.6667
2020-01-13 13:58:00,15.0,90.0
2020-01-13 13:59:00,13.3333,88.3333
2020-01-13 14:00:00,11.6667,86.6667
2020-01-13 14:01:00,10.0,85.0
2020-01-13 14:02:00,8.3333,83.3333
2020-01-13 14:03:00,6.6667,81.6667
2020-01-13 14:04:00,5.0,80.0
2020-01-13 14:05:00,3.3333,78.3333
2020-01-13 14:06:00,1.6667,76.6667
2020-01-13 14:07:00,0.0,75.0
2020-01-13 14:08:00,1.6667,100.0
2020-01-13 14:09:00,0.0,100.0
2020-01-13 14:10:00,1.6667,100.0
2020-01-13 14:11:00,0.0,100.0
2020-01-13 14:12:00,0.0,100.0
2020-01-13 14:13:00,6.6667,100.0
2020-01-13 14:14:00,5.0,100.0
2020-01-13 14:15:00,3.3333,100.0
2020-01-13 14:16:00,1.6667,98.3333
2020-01-13 14:17:00,0.0,96.6667
2020-01-13 14:18:00,0.0,95.0
2020-01-13 14:19:00,0.0,93.3333
2020-01-13 14:20:00,0.0,91.6667
2020-01-13 14:21:00,0.0,90.0
2020-01-13 14:22:00,68.3333,88.3333
2020-01-13 14:23:00,66.6667,86.6667
2020-01-13 14:24:00,65.0,85.0
2020-01-13 14:25:00,63.3333,100.0
2020-01-13 14:26:00,61.6667,98.3333
2020-01-13 14:27:00,60.0,100.0
2020-01-13 14:28:00,58.3333,100.0
2020-01-13 14:29:00,56.6667,98.3333
2020-01-13 14:30:00,55.0,96.6667
2020-01-13 14:31:00,53.3333,95.0
2020-01-13 14:32:00,51.6667,93.3333
2020-01-13 14:33:00,50.0,91.6667
2020-01-13 14:34:00,48.3333,90.0
2020-01-13 14:35:00,46.6667,88.3333
2020-01-13 14:36:00,45.0,86.6667
2020-01-13 14:37:00,43.3333,85.0
2020-01-13 14:38:00,41.6667,83.3333
2020-01-13 14:39:00,40.0,81.6667
2020-01-13 14:40:00,38.3333,80.0
2020-01-13 14:41:00,36.6667,78.3333
2020-01-13 14:42:00,35.0,76.6667
2020-01-13 14:43:00,33.3333,75.0
2020-01-13 14:44:00,31.6667,73.3333
2020-01-13 14:45:00,30.0,71.6667
2020-01-13 14:46:00,28.3333,70.0
2020-01-13 14:47:00,26.6667,68.3333
2020-01-13 14:48:00,25.0,66.6667
2020-01-13 14:49:00,23.3333,65.0
2020-01-13 14:50:00,21.6667,63.3333
2020-01-13 14:51:00,20.0,61.6667
2020-01-13 14:52:00,18.3333,60.0
2020-01-13 14:53:00,16.6667,58.3333
2020-01-13 14:54:00,15.0,56.6667
2020-01-13 14:55:00,13.3333,55.0
2020-01-13 14:56:00,11.6667,53.3333
2020-01-13 14:57:00,10.0,51.6667
2020-01-13 14:58:00,8.3333,50.0
2020-01-13 14:59:00,6.6667,48.3333
2020-01-13 15:00:00,5.0,46.6667
2020-01-13 15:01:00,3.3333,45.0
2020-01-13 15:02:00,1.6667,43.3333
2020-01-13 15:03:00,0.0,41.6667
2020-01-13 15:04:00,0.0,40.0
2020-01-13 15:05:00,80.0,38.3333
2020-01-13 15:06:00,78.3333,36.6667
2020-01-13 15:07:00,76.6667,35.0
2020-01-13 15:08:00,75.0,33.3333
2020-01-13 15:09:00,73.3333,31.6667
2020-01-13 15:10:00,71.6667,30.0
2020-01-13 15:11:00,70.0,28.3333
2020-01-13 15:12:00,68.3333,26.6667
2020-01-13 15:13:00,66.6667,25.0
2020-01-13 15:14:00,65.0,23.3333
2020-01-13 15:15:00,63.3333,21.6667
2020-01-13 15:16:00,61.6667,20.0
2020-01-13 15:17:00,60.0,18.3333
2020-01-13 15:18:00,58.3333,16.6667
2020-01-13 15:19:00,56.6667,15.0
2020-01-13 15:20:00,55.0,13.3333
2020-01-13 15:21:00,53.3333,11.6667
2020-01-13 15:22:00,51.6667,10.0
2020-01-13 15:23:00,50.0,8.3333
2020-01-13 15:24:00,48.3333,6.6667
2020-01-13 15:25:00,46.6667,5.0
2020-01-13 15:26:00,45.0,3.3333
2020-01-13 15:27:00,43.3333,1.6667
2020-01-13 15:28:00,41.6667,0.0
2020-01-13 15:29:00,40.0,1.6667
2020-01-13 15:30:00,38.3333,0.0
2020-01-13 15:31:00,36.6667,20.0
2020-01-13 15:32:00,35.0,18.3333
2020-01-13 15:33:00,33.3333,16.6667
2020-01-13 15:34:00,31.6667,15.0
2020-01-13 15:35:00,30.0,13.3333
2020-01-13 15:36:00,28.3333,11.6667
2020-01-13 15:37:00,26.6667,10.0
2020-01-13 15:38:00,25.0,8.3333
2020-01-13 15:39:00,23.3333,6.6667
2020-01-13 15:40:00,21.6667,100.0
2020-01-13 15:41:00,20.0,98.3333
2020-01-13 15:42:00,18.3333,96.6667
2020-01-13 15:43:00,16.6667,95.0
2020-01-13 15:44:00,15.0,93.3333
2020-01-13 15:45:00,13.3333,91.6667
2020-01-13 15:46:00,11.6667,90.0
2020-01-13 15:47:00,10.0,88.3333
2020-01-13 15:48:00,8.3333,86.6667
2020-01-13 15:49:00,6.6667,85.0
2020-01-13 15:50:00,5.0,83.3333
2020-01-13 15:51:00,3.3333,81.6667
2020-01-13 15:52:00,1.6667,80.0
2020-01-13 15:53:00,0.0,78.3333
2020-01-13 15:54:00,0.0,76.6667
2020-01-13 15:55:00,56.6667,100.0
2020-01-13 15:56:00,55.0,100.0
2020-01-13 15:57:00,53.3333,100.0
2020-01-13 15:58:00,51.6667,100.0
2020-01-13 15:59:00,50.0,100.0
2020-01-13 16:00:00,48.3333,100.0
2020-01-14 09:31:00,46.6667,100.0
2020-01-14 09:32:00,45.0,100.0
2020-01-14 09:33:00,43.3333,98.3333
2020-01-14 09:34:00,41.6667,96.6667
2020-01-14 09:35:00,40.0,95.0
2020-01-14 09:36:00,38.3333,93.3333
2020-01-14 09:37:00,36.6667,91.6667
2020-01-14 09:38:00,35.0,90.0
2020-01-14 09:39:00,33.3333,88.3333
2020-01-14 09:40:00,100.0,86.6667
2020-01-14 09:41:00,100.0,85.0
2020-01-14 09:42:00,100.0,83.3333
2020-01-14 09:43:00,100.0,81.6667
2020-01-14 09:44:00,100.0,80.0
2020-01-14 09:45:00,98.3333,78.3333
2020-01-14 09:46:00,96.6667,76.6667
2020-01-14 09:47:00,95.0,75.0
2020-01-14 09:48:00,93.3333,73.3333
2020-01-14 09:49:00,91.6667,71.6667
2020-01-14 09:50:00,90.0,70.0
2020-01-14 09:51:00,88.3333,68.3333
2020-01-14 09:52:00,86.6667,66.6667
2020-01-14 09:53:00,85.0,65.0
2020-01-14 09:54:00,83.3333,63.3333
2020-01-14 09:55:00,81.6667,61.6667
2020-01-14 09:56:00,80.0,60.0
2020-01-14 09:57:00,78.3333,58.3333
2020-01-14 09:58:00,76.6667,56.6667
2020-01-14 09:59:00,75.0,55.0
2020-01-14 10:00:00,73.3333,53.3333
2020-01-14 10:01:00,71.6667,51.6667
2020-01-14 10:02:00,70.0,50.0
2020-01-14 10:03:00,68.3333,48.3333
2020-01-14 10:04:00,66.6667,46.6667
2020-01-14 10:05:00,65.0,45.0
2020-01-14 10:06:00,63.3333,43.3333
2020-01-14 10:07:00,61.6667,41.6667
2020-01-14 10:08:00,60.0,40.0
2020-01-14 10:09:00,58.3333,38.3333
2020-01-14 10:10:00,56.6667,36.6667
2020-01-14 10:11:00,55.0,35.0
2020-01-14 10:12:00,53.3333,33.3333
2020-01-14 10:13:00,51.6667,100.0
2020-01-14 10:14:00,50.0,100.0
2020-01-14 10:15:00,48.3333,100.0
2020-01-14 10:16:00,46.6667,98.3333
2020-01-14 10:17:00,45.0,96.6667
2020-01-14 10:18:00,43.3333,95.0
2020-01-14 10:19:00,41.6667,93.3333
2020-01-14 10:20:00,40.0,91.6667
2020-01-14 10:21:00,38.3333,90.0
2020-01-14 10:22:00,36.6667,88.3333
2020-01-14 10:23:00,35.0,86.6667
2020-01-14 10:24:00,33.3333,85.0
2020-01-14 10:25:00,31.6667,83.3333
2020-01-14 10:26:00,30.0,81.6667
2020-01-14 10:27:00,28.3333,80.0
2020-01-14 10:28:00,26.6667,78.3333
2020-01-14 10:29:00,25.0,76.6667
2020-01-14 10:30:00,23.3333,75.0
2020-01-14 10:31:00,21.6667,73.3333
2020-01-14 10:32:00,20.0,71.6667
2020-01-14 10:33:00,18.3333,70.0
2020-01-14 10:34:00,16.6667,68.3333
2020-01-14 10:35:00,15.0,66.6667
2020-01-14 10:36:00,13.3333,65.0
2020-01-14 10:37:00,11.6667,63.3333
2020-01-14 10:38:00,10.0,61.6667
2020-01-14 10:39:00,8.3333,60.0
2020-01-14 10:40:00,6.6667,58.3333
2020-01-14 10:41:00,5.0,56.6667
2020-01-14 10:42:00,3.3333,55.0
2020-01-14 10:43:00,1.6667,53.3333
2020-01-14 10:44:00,0.0,51.6667
2020-01-14 10:45:00,0.0,50.0
2020-01-14 10:46:00,21.6667,48.3333
2020-01-14 10:47:00,20.0,46.6667
2020-01-14 10:48:00,18.3333,45.0
2020-01-14 10:49:00,16.6667,43.3333
2020-01-14 10:50:00,15.0,41.6667
2020-01-14 10:51:00,13.3333,40.0
2020-01-14 10:52:00,11.6667,38.3333
2020-01-14 10:53:00,10.0,36.6667
2020-01-14 10:54:00,8.3333,35.0
2020-01-14 10:55:00,6.6667,33.3333
2020-01-14 10:56:00,5.0,31.6667
2020-01-14 10:57:00,3.3333,30.0
2020-01-14 10:58:00,1.6667,28.3333
2020-01-14 10:59:00,0.0,26.6667
2020-01-14 11:00:00,1.6667,25.0
2020-01-14 11:01:00,0.0,23.3333
2020-01-14 11:02:00,90.0,21.6667
2020-01-14 11:03:00,88.3333,20.0
2020-01-14 11:04:00,86.6667,18.3333
2020-01-14 11:06:00,85.0,16.6667
2020-01-14 11:07:00,83.3333,15.0
2020-01-14 11:08:00,81.6667,13.3333
2020-01-14 11:09:00,80.0,11.6667
2020-01-14 11:10:00,78.3333,10.0
2020-01-14 11:11:00,76.6667,8.3333
2020-01-14 11:12:00,75.0,6.6667
2020-01-14 11:13:00,73.3333,5.0
2020-01-14 11:14:00,71.6667,3.3333
2020-01-14 11:15:00,100.0,1.6667
2020-01-14 11:16:00,98.3333,0.0
2020-01-14 11:17:00,96.6667,0.0
2020-01-14 11:18:00,95.0,26.6667
2020-01-14 11:19:00,93.3333,25.0
2020-01-14 11:20:00,91.6667,23.3333
2020-01-14 11:21:00,90.0,21.6667
2020-01-14 11:22:00,100.0,20.0
2020-01-14 11:23:00,100.0,18.3333
2020-01-14 11:24:00,98.3333,16.6667
2020-01-14 11:25:00,96.6667,15.0
2020-01-14 11:26:00,95.0,13.3333
2020-01-14 11:27:00,93.3333,11.6667
2020-01-14 11:28:00,91.6667,10.0
2020-01-14 11:29:00,100.0,8.3333
2020-01-14 11:30:00,100.0,6.6667
2020-01-14 11:31:00,98.3333,5.0
2020-01-14 11:32:00,96.6667,3.3333
2020-01-14 11:33:00,95.0,1.6667
2020-01-14 11:34:00,93.3333,0.0
2020-01-14 11:35:00,91.6667,10.0
2020-01-14 11:36:00,90.0,8.3333
2020-01-14 11:37:00,88.3333,6.6667
2020-01-14 11:38:00,86.6667,5.0
2020-01-14 11:39:00,85.0,3.3333
2020-01-14 11:40:00,83.3333,1.6667
2020-01-14 11:41:00,81.6667,0.0
2020-01-14 11:42:00,80.0,0.0
2020-01-14 11:43:00,78.3333,5.0
2020-01-14 11:44:00,76.6667,3.3333
2020-01-14 11:45:00,75.0,1.6667
2020-01-14 11:46:00,73.3333,0.0
2020-01-14 11:47:00,71.6667,0.0
2020-01-14 11:48:00,70.0,0.0
2020-01-14 11:49:00,68.3333,0.0
2020-01-14 11:50:00,66.6667,20.0
2020-01-14 11:51:00,65.0,18.3333
2020-01-14 11:52:00,63.3333,16.6667
2020-01-14 11:53:00,61.6667,15.0
2020-01-14 11:54:00,60.0,13.3333
2020-01-14 11:55:00,58.3333,11.6667
2020-01-14 11:56:00,56.6667,10.0
2020-01-14 11:57:00,55.0,8.3333
2020-01-14 11:58:00,53.3333,6.6667
2020-01-14 11:59:00,51.6667,5.0
2020-01-14 12:00:00,50.0,3.3333
2020-01-14 12:01:00,48.3333,1.6667
2020-01-14 12:02:00,46.6667,0.0
2020-01-14 12:03:00,45.0,100.0
2020-01-14 12:04:00,43.3333,100.0
2020-01-14 12:05:00,41.6667,100.0
