date,VWAP
2020-01-13 12:13:00,503.9249
2020-01-13 12:14:00,504.076
2020-01-13 12:15:00,504.1861
2020-01-13 12:16:00,504.2679
2020-01-13 12:17:00,504.3743
2020-01-13 12:18:00,504.4224
2020-01-13 12:19:00,504.4986
2020-01-13 12:20:00,504.5922
2020-01-13 12:21:00,504.66
2020-01-13 12:22:00,504.7691
2020-01-13 12:23:00,504.8371
2020-01-13 12:24:00,504.8961
2020-01-13 12:25:00,504.9409
2020-01-13 12:26:00,505.0074
2020-01-13 12:27:00,505.0612
2020-01-13 12:28:00,505.0955
2020-01-13 12:29:00,505.1388
2020-01-13 12:30:00,505.1748
2020-01-13 12:31:00,505.233
2020-01-13 12:32:00,505.2569
2020-01-13 12:33:00,505.2958
2020-01-13 12:34:00,505.333
2020-01-13 12:35:00,505.3563
2020-01-13 12:36:00,505.3796
2020-01-13 12:37:00,505.3963
2020-01-13 12:38:00,505.4277
2020-01-13 12:39:00,505.4838
2020-01-13 12:40:00,505.5296
2020-01-13 12:41:00,505.5596
2020-01-13 12:42:00,505.5813
2020-01-13 12:43:00,505.6076
2020-01-13 12:44:00,505.6497
2020-01-13 12:45:00,505.6803
2020-01-13 12:46:00,505.6985
2020-01-13 12:47:00,505.7183
2020-01-13 12:48:00,505.7479
2020-01-13 12:49:00,505.784
2020-01-13 12:50:00,505.7976
2020-01-13 12:51:00,505.8143
2020-01-13 12:52:00,505.8302
2020-01-13 12:53:00,505.8483
2020-01-13 12:54:00,505.8732
2020-01-13 12:55:00,505.8954
2020-01-13 12:56:00,505.9116
2020-01-13 12:57:00,505.9253
2020-01-13 12:58:00,505.9385
2020-01-13 12:59:00,505.9899
2020-01-13 13:00:00,506.0145
2020-01-13 13:01:00,506.0576
2020-01-13 13:02:00,506.0787
2020-01-13 13:03:00,506.0994
2020-01-13 13:04:00,506.1327
2020-01-13 13:05:00,506.1691
2020-01-13 13:06:00,506.2058
2020-01-13 13:07:00,506.2213
2020-01-13 13:08:00,506.257
2020-01-13 13:09:00,506.2878
2020-01-13 13:10:00,506.3785
2020-01-13 13:11:00,506.4197
2020-01-13 13:12:00,506.4619
2020-01-13 13:13:00,506.4947
2020-01-13 13:14:00,506.5294
2020-01-13 13:15:00,506.5659
2020-01-13 13:16:00,506.6051
2020-01-13 13:17:00,506.6256
2020-01-13 13:18:00,506.6481
2020-01-13 13:19:00,506.6773
2020-01-13 13:20:00,506.7088
2020-01-13 13:21:00,506.7268
2020-01-13 13:22:00,506.7546
2020-01-13 13:23:00,506.7806
2020-01-13 13:24:00,506.7988
2020-01-13 13:25:00,506.8191
2020-01-13 13:26:00,506.8409
2020-01-13 13:27:00,506.8809
2020-01-13 13:28:00,506.903
2020-01-13 13:29:00,506.9336
2020-01-13 13:30:00,506.9522
2020-01-13 13:31:00,506.9651
2020-01-13 13:32:00,506.9942
2020-01-13 13:33:00,507.0176
2020-01-13 13:34:00,507.0293
2020-01-13 13:35:00,507.0403
2020-01-13 13:36:00,507.0727
2020-01-13 13:37:00,507.0928
2020-01-13 13:38:00,507.1116
2020-01-13 13:39:00,507.1518
2020-01-13 13:40:00,507.1706
2020-01-13 13:41:00,507.1969
2020-01-13 13:42:00,507.2199
2020-01-13 13:43:00,507.2483
2020-01-13 13:44:00,507.2785
2020-01-13 13:45:00,507.2981
2020-01-13 13:46:00,507.3104
2020-01-13 13:47:00,507.3203
2020-01-13 13:48:00,507.3388
2020-01-13 13:49:00,507.3563
2020-01-13 13:50:00,507.3742
2020-01-13 13:51:00,507.3904
2020-01-13 13:52:00,507.403
2020-01-13 13:53:00,507.4104
2020-01-13 13:54:00,507.4215
