date,Real Middle Band,Real Lower Band,Real Upper Band
2020-01-15 12:34:00,314.1592,313.8111,314.5073
2020-01-15 12:35:00,314.1644,313.8289,314.5
2020-01-15 12:36:00,314.1655,313.8307,314.5003
2020-01-15 12:37:00,314.1707,313.8375,314.5039
2020-01-15 12:38:00,314.1772,313.8487,314.5057
2020-01-15 12:39:00,314.1799,313.8513,314.5084
2020-01-15 12:40:00,314.1817,313.8517,314.5117
2020-01-15 12:41:00,314.1829,313.85,314.5157
2020-01-15 12:42:00,314.1849,313.8467,314.5231
2020-01-15 12:43:00,314.186,313.8447,314.5274
2020-01-15 12:44:00,314.1877,313.844,314.5314
2020-01-15 12:45:00,314.1885,313.844,314.533
2020-01-15 12:46:00,314.1918,313.8435,314.5402
2020-01-15 12:47:00,314.1947,313.8417,314.5476
2020-01-15 12:48:00,314.1955,313.8405,314.5505
2020-01-15 12:49:00,314.197,313.8397,314.5544
2020-01-15 12:50:00,314.1936,313.8358,314.5514
2020-01-15 12:51:00,314.1941,313.8367,314.5514
2020-01-15 12:52:00,314.1916,313.8329,314.5504
2020-01-15 12:53:00,314.1828,313.8066,314.5591
2020-01-15 12:54:00,314.1775,313.795,314.5599
2020-01-15 12:55:00,314.1755,313.7879,314.5631
2020-01-15 12:56:00,314.172,313.7794,314.5645
2020-01-15 12:57:00,314.168,313.7653,314.5706
2020-01-15 12:58:00,314.165,313.7591,314.571
2020-01-15 12:59:00,314.1683,313.7719,314.5647
2020-01-15 13:00:00,314.1677,313.7697,314.5656
2020-01-15 13:01:00,314.1651,313.756,314.5741
2020-01-15 13:02:00,314.1654,313.757,314.5737
2020-01-15 13:03:00,314.166,313.7593,314.5727
2020-01-15 13:04:00,314.169,313.7676,314.5704
2020-01-15 13:05:00,314.1719,313.7792,314.5646
2020-01-15 13:06:00,314.1739,313.7829,314.5649
2020-01-15 13:07:00,314.1699,313.7796,314.5603
2020-01-15 13:08:00,314.1666,313.7702,314.563
2020-01-15 13:09:00,314.1628,313.7576,314.5679
2020-01-15 13:10:00,314.1626,313.7569,314.5683
2020-01-15 13:11:00,314.1624,313.7564,314.5684
2020-01-15 13:12:00,314.1566,313.7408,314.5724
2020-01-15 13:13:00,314.1513,313.7292,314.5734
2020-01-15 13:14:00,314.152,313.7293,314.5746
2020-01-15 13:15:00,314.1488,313.7295,314.568
2020-01-15 13:16:00,314.146,313.7288,314.5631
2020-01-15 13:17:00,314.1458,313.7289,314.5627
2020-01-15 13:18:00,314.1463,313.7289,314.5638
2020-01-15 13:19:00,314.1473,313.7285,314.5661
2020-01-15 13:20:00,314.1519,313.7289,314.5749
2020-01-15 13:21:00,314.1555,313.7313,314.5798
2020-01-15 13:22:00,314.1549,313.7312,314.5785
2020-01-15 13:23:00,314.1511,313.729,314.5731
2020-01-15 13:24:00,314.1479,313.7247,314.5712
2020-01-15 13:25:00,314.1426,313.7176,314.5677
2020-01-15 13:26:00,314.1355,313.7174,314.5537
2020-01-15 13:27:00,314.1281,313.7108,314.5454
2020-01-15 13:28:00,314.1221,313.7025,314.5417
2020-01-15 13:29:00,314.1138,313.6983,314.5292
2020-01-15 13:30:00,314.1071,313.6942,314.52
2020-01-15 13:31:00,314.1041,313.6946,314.5135
2020-01-15 13:32:00,314.1052,313.6951,314.5154
2020-01-15 13:33:00,314.1037,313.6948,314.5126
2020-01-15 13:34:00,314.0925,313.663,314.5221
2020-01-15 13:35:00,314.0843,313.6379,314.5306
2020-01-15 13:36:00,314.0767,313.6187,314.5346
2020-01-15 13:37:00,314.068,313.6076,314.5285
2020-01-15 13:38:00,314.0594,313.5979,314.5209
2020-01-15 13:39:00,314.0505,313.5845,314.5166
2020-01-15 13:40:00,314.0415,313.5742,314.5088
2020-01-15 13:41:00,314.0303,313.5674,314.4931
2020-01-15 13:42:00,314.0172,313.5603,314.4742
2020-01-15 13:43:00,314.0045,313.5539,314.4551
2020-01-15 13:44:00,313.9912,313.5361,314.4462
2020-01-15 13:45:00,313.9735,313.4866,314.4604
2020-01-15 13:46:00,313.954,313.4423,314.4657
2020-01-15 13:47:00,313.9349,313.4089,314.4609
2020-01-15 13:48:00,313.9163,313.3838,314.4487
2020-01-15 13:49:00,313.8986,313.3586,314.4386
2020-01-15 13:50:00,313.885,313.3234,314.4466
2020-01-15 13:51:00,313.8697,313.2858,314.4535
2020-01-15 13:52:00,313.85,313.2171,314.4829
2020-01-15 13:53:00,313.8322,313.1312,314.5331
2020-01-15 13:54:00,313.8068,313.015,314.5987
2020-01-15 13:55:00,313.7798,312.8936,314.6661
2020-01-15 13:56:00,313.7525,312.7887,314.7163
2020-01-15 13:57:00,313.7307,312.7142,314.7471
2020-01-15 13:58:00,313.7039,312.6307,314.7772
2020-01-15 13:59:00,313.6769,312.5516,314.8022
2020-01-15 14:00:00,313.656,312.5028,314.8093
2020-01-15 14:01:00,313.6398,312.4597,314.8198
2020-01-15 14:02:00,313.621,312.4234,314.8186
2020-01-15 14:03:00,313.6036,312.3942,314.813
2020-01-15 14:04:00,313.5846,312.3699,314.7993
2020-01-15 14:05:00,313.5694,312.3511,314.7877
2020-01-15 14:06:00,313.5496,312.3309,314.7682
2020-01-15 14:07:00,313.5317,312.3127,314.7507
2020-01-15 14:08:00,313.5187,312.2986,314.7388
2020-01-15 14:09:00,313.5075,312.2864,314.7287
2020-01-15 14:10:00,313.4998,312.2809,314.7187
2020-01-15 14:11:00,313.4888,312.2759,314.7017
2020-01-15 14:12:00,313.4806,312.2699,314.6913
2020-01-15 14:13:00,313.4716,312.2646,314.6786
2020-01-15 14:14:00,313.4555,312.2647,314.6462
2020-01-15 14:15:00,313.4401,312.2628,314.6174
2020-01-15 14:16:00,313.4244,312.2599,314.5889
2020-01-15 14:17:00,313.4057,312.2609,314.5505
2020-01-15 14:18:00,313.3867,312.2623,314.5112
2020-01-15 14:19:00,313.3666,312.2668,314.4665
2020-01-15 14:20:00,313.3468,312.2785,314.4151
2020-01-15 14:21:00,313.328,312.2881,314.3678
2020-01-15 14:22:00,313.3103,312.2974,314.3232
