date,SMA
2020-01-13 12:20:00,312.625
2020-01-13 12:21:00,312.6116
2020-01-13 12:22:00,312.6056
2020-01-13 12:23:00,312.5787
2020-01-13 12:24:00,312.5652
2020-01-13 12:25:00,312.5553
2020-01-13 12:26:00,312.5434
2020-01-13 12:27:00,312.5362
2020-01-13 12:28:00,312.535
2020-01-13 12:29:00,312.531
2020-01-13 12:30:00,312.5366
2020-01-13 12:31:00,312.5671
2020-01-13 12:32:00,312.6059
2020-01-13 12:33:00,312.6384
2020-01-13 12:34:00,312.6848
2020-01-13 12:35:00,312.741
2020-01-13 12:36:00,312.7913
2020-01-13 12:37:00,312.8475
2020-01-13 12:38:00,312.9056
2020-01-13 12:39:00,312.9396
2020-01-13 12:40:00,312.9683
2020-01-13 12:41:00,312.9953
2020-01-13 12:42:00,313.0026
2020-01-13 12:43:00,313.0126
2020-01-13 12:44:00,313.0299
2020-01-13 12:45:00,313.0374
2020-01-13 12:46:00,313.0511
2020-01-13 12:47:00,313.0661
2020-01-13 12:48:00,313.0944
2020-01-13 12:49:00,313.1086
2020-01-13 12:50:00,313.1144
2020-01-13 12:51:00,313.1381
2020-01-13 12:52:00,313.1606
2020-01-13 12:53:00,313.177
2020-01-13 12:54:00,313.1808
2020-01-13 12:55:00,313.192
2020-01-13 12:56:00,313.1927
2020-01-13 12:57:00,313.2152
2020-01-13 12:58:00,313.2438
2020-01-13 12:59:00,313.2513
2020-01-13 13:00:00,313.2389
2020-01-13 13:01:00,313.2287
2020-01-13 13:02:00,313.2274
2020-01-13 13:03:00,313.2074
2020-01-13 13:04:00,313.1879
2020-01-13 13:05:00,313.1441
2020-01-13 13:06:00,313.1175
2020-01-13 13:07:00,313.0905
2020-01-13 13:08:00,313.0917
2020-01-13 13:09:00,313.1017
2020-01-13 13:10:00,313.1035
2020-01-13 13:11:00,313.1122
2020-01-13 13:12:00,313.1305
2020-01-13 13:13:00,313.1692
2020-01-13 13:14:00,313.1946
2020-01-13 13:15:00,313.2192
2020-01-13 13:16:00,313.2305
2020-01-13 13:17:00,313.2292
2020-01-13 13:18:00,313.2402
2020-01-13 13:19:00,313.2571
2020-01-13 13:20:00,313.2695
2020-01-13 13:21:00,313.2845
2020-01-13 13:22:00,313.322
2020-01-13 13:23:00,313.3832
2020-01-13 13:24:00,313.4449
2020-01-13 13:25:00,313.4962
2020-01-13 13:26:00,313.5246
2020-01-13 13:27:00,313.5515
2020-01-13 13:28:00,313.5816
2020-01-13 13:29:00,313.6066
2020-01-13 13:30:00,313.6128
2020-01-13 13:31:00,313.5847
2020-01-13 13:32:00,313.5668
2020-01-13 13:33:00,313.5459
2020-01-13 13:34:00,313.5359
2020-01-13 13:35:00,313.5286
2020-01-13 13:36:00,313.5173
2020-01-13 13:37:00,313.5111
2020-01-13 13:38:00,313.4956
2020-01-13 13:39:00,313.4912
2020-01-13 13:40:00,313.4837
2020-01-13 13:41:00,313.4959
2020-01-13 13:42:00,313.5178
2020-01-13 13:43:00,313.5227
2020-01-13 13:44:00,313.5152
2020-01-13 13:45:00,313.5114
2020-01-13 13:46:00,313.5207
2020-01-13 13:47:00,313.5332
2020-01-13 13:48:00,313.5506
2020-01-13 13:49:00,313.5606
2020-01-13 13:50:00,313.5674
2020-01-13 13:51:00,313.583
2020-01-13 13:52:00,313.6105
2020-01-13 13:53:00,313.6305
2020-01-13 13:54:00,313.6383
2020-01-13 13:55:00,313.6485
2020-01-13 13:56:00,313.6544
2020-01-13 13:57:00,313.6694
2020-01-13 13:58:00,313.6719
2020-01-13 13:59:00,313.6737
2020-01-13 14:00:00,313.6712
2020-01-13 14:01:00,313.6512
2020-01-13 14:02:00,313.6235
2020-01-13 14:03:00,313.5957
2020-01-13 14:04:00,313.5555
2020-01-13 14:05:00,313.5224
2020-01-13 14:06:00,313.5099
2020-01-13 14:07:00,313.5199
2020-01-13 14:08:00,313.5474
2020-01-13 14:09:00,313.5893
2020-01-13 14:10:00,313.6493
2020-01-13 14:11:00,313.7068
2020-01-13 14:12:00,313.765
2020-01-13 14:13:00,313.8144
2020-01-13 14:14:00,313.8494
2020-01-13 14:15:00,313.8665
2020-01-13 14:16:00,313.8665
2020-01-13 14:17:00,313.8896
2020-01-13 14:18:00,313.9233
2020-01-13 14:19:00,313.9774
2020-01-13 14:20:00,314.0426
2020-01-13 14:21:00,314.0913
2020-01-13 14:22:00,314.1401
2020-01-13 14:23:00,314.2014
2020-01-13 14:24:00,314.2777
2020-01-13 14:25:00,314.3348
2020-01-13 14:26:00,314.3667
2020-01-13 14:27:00,314.3801
2020-01-13 14:28:00,314.3965
2020-01-13 14:29:00,314.4452
2020-01-13 14:30:00,314.4902
2020-01-13 14:31:00,314.543
2020-01-13 14:32:00,314.592
2020-01-13 14:33:00,314.6311
2020-01-13 14:34:00,314.6879
2020-01-13 14:35:00,314.7229
2020-01-13 14:36:00,314.7551
2020-01-13 14:37:00,314.7451
2020-01-13 14:38:00,314.7344
2020-01-13 14:39:00,314.7132
2020-01-13 14:40:00,314.6879
2020-01-13 14:41:00,314.6541
2020-01-13 14:42:00,314.6129
2020-01-13 14:43:00,314.589
2020-01-13 14:44:00,314.5415
2020-01-13 14:45:00,314.5314
2020-01-13 14:46:00,314.5252
2020-01-13 14:47:00,314.5065
2020-01-13 14:48:00,314.4879
2020-01-13 14:49:00,314.4879
2020-01-13 14:50:00,314.5054
2020-01-13 14:51:00,314.5294
2020-01-13 14:52:00,314.5619
2020-01-13 14:53:00,314.5732
2020-01-13 14:54:00,314.5938
2020-01-13 14:55:00,314.635
2020-01-13 14:56:00,314.6775
2020-01-13 14:57:00,314.7207
2020-01-13 14:58:00,314.7545
2020-01-13 14:59:00,314.7757
2020-01-13 15:00:00,314.812
2020-01-13 15:01:00,314.8482
2020-01-13 15:02:00,314.874
2020-01-13 15:03:00,314.8958
2020-01-13 15:04:00,314.9121
2020-01-13 15:05:00,314.9238
