date,CCI
2020-01-13 10:30:00,-96.5926
2020-01-13 10:31:00,-104.3123
2020-01-13 10:32:00,-143.8681
2020-01-13 10:33:00,-144.2191
2020-01-13 10:34:00,-123.9486
2020-01-13 10:35:00,-132.8501
2020-01-13 10:36:00,-147.4191
2020-01-13 10:37:00,-119.7319
2020-01-13 10:38:00,-87.9029
2020-01-13 10:39:00,-99.8493
2020-01-13 10:40:00,-126.789
2020-01-13 10:41:00,-125.1833
2020-01-13 10:42:00,-118.1668
2020-01-13 10:43:00,-142.5613
2020-01-13 10:44:00,-139.1725
2020-01-13 10:45:00,-175.6835
2020-01-13 10:46:00,-186.9724
2020-01-13 10:47:00,-155.861
2020-01-13 10:48:00,-135.1311
2020-01-13 10:49:00,-110.7101
2020-01-13 10:50:00,-68.5733
2020-01-13 10:51:00,-74.7521
2020-01-13 10:52:00,-42.7469
2020-01-13 10:53:00,-22.4724
2020-01-13 10:54:00,-7.9161
2020-01-13 10:55:00,-14.793
2020-01-13 10:56:00,-8.6082
2020-01-13 10:57:00,-7.6121
2020-01-13 10:58:00,19.4086
2020-01-13 10:59:00,23.4259
2020-01-13 11:04:00,-47.7248
2020-01-13 11:05:00,-32.0144
2020-01-13 11:06:00,-46.7968
2020-01-13 11:07:00,-56.6153
2020-01-13 11:08:00,-61.4221
2020-01-13 11:09:00,-97.2602
2020-01-13 11:10:00,-69.6152
2020-01-13 11:11:00,-44.064
2020-01-13 11:12:00,-36.2971
2020-01-13 11:13:00,-14.2938
2020-01-13 11:14:00,-30.2745
2020-01-13 11:15:00,-42.3314
2020-01-13 11:16:00,9.4062
2020-01-13 11:17:00,35.7937
2020-01-13 11:18:00,56.4647
2020-01-13 11:19:00,23.7602
2020-01-13 11:20:00,11.4644
2020-01-13 11:21:00,38.2131
2020-01-13 11:22:00,50.978
2020-01-13 11:23:00,42.9608
2020-01-13 11:24:00,42.732
2020-01-13 11:25:00,43.933
2020-01-13 11:26:00,-19.3172
2020-01-13 11:27:00,-25.9347
2020-01-13 11:28:00,55.1932
2020-01-13 11:29:00,53.9486
2020-01-13 11:30:00,144.4927
2020-01-13 11:31:00,247.8248
2020-01-13 11:32:00,314.4723
2020-01-13 11:33:00,282.4069
2020-01-13 11:34:00,212.0107
2020-01-13 11:35:00,179.4792
2020-01-13 11:36:00,207.1707
2020-01-13 11:37:00,184.2247
2020-01-13 11:38:00,178.3433
2020-01-13 11:39:00,155.7812
2020-01-13 11:40:00,146.1732
2020-01-13 11:41:00,124.526
2020-01-13 11:42:00,114.0276
2020-01-13 11:43:00,107.9137
2020-01-13 11:44:00,123.4622
2020-01-13 11:45:00,128.6004
2020-01-13 11:46:00,126.0587
2020-01-13 11:47:00,141.1489
2020-01-13 11:48:00,148.7747
2020-01-13 11:49:00,219.4062
2020-01-13 11:50:00,174.2931
2020-01-13 11:51:00,137.8419
2020-01-13 11:52:00,128.5799
2020-01-13 11:53:00,129.0987
2020-01-13 11:54:00,96.7929
2020-01-13 11:57:00,69.5832
2020-01-13 11:58:00,78.7904
2020-01-13 11:59:00,98.2858
2020-01-13 12:00:00,125.8822
2020-01-13 12:01:00,141.1715
2020-01-13 12:02:00,145.2223
2020-01-13 12:03:00,124.7762
2020-01-13 12:04:00,111.3189
2020-01-13 12:05:00,108.5654
2020-01-13 12:06:00,92.0539
2020-01-13 12:07:00,87.4036
2020-01-13 12:08:00,82.483
2020-01-13 12:09:00,79.6137
2020-01-13 12:10:00,87.1638
2020-01-13 12:11:00,97.4368
2020-01-13 12:12:00,86.7771
2020-01-13 12:13:00,80.6614
2020-01-13 12:14:00,61.4721
2020-01-13 12:15:00,76.2178
2020-01-13 12:16:00,53.6036
2020-01-13 12:17:00,41.341
2020-01-13 12:18:00,51.5726
2020-01-13 12:19:00,39.2889
2020-01-13 12:20:00,25.6768
2020-01-13 12:21:00,37.7742
2020-01-13 12:22:00,36.6072
2020-01-13 12:23:00,22.0619
2020-01-13 12:24:00,3.3656
2020-01-13 12:25:00,6.9047
2020-01-13 12:26:00,11.0606
2020-01-13 12:27:00,-2.1145
2020-01-13 12:28:00,-15.7127
2020-01-13 12:29:00,8.479
2020-01-13 12:30:00,22.1709
2020-01-13 12:31:00,66.3242
2020-01-13 12:32:00,101.6767
2020-01-13 12:33:00,96.6018
2020-01-13 12:34:00,132.412
2020-01-13 12:35:00,162.1265
2020-01-13 12:36:00,131.8701
2020-01-13 12:37:00,171.8946
2020-01-13 12:38:00,184.0412
2020-01-13 12:39:00,186.5953
2020-01-13 12:40:00,165.2968
2020-01-13 12:41:00,142.91
2020-01-13 12:42:00,131.8893
2020-01-13 12:43:00,140.2917
2020-01-13 12:44:00,151.1989
2020-01-13 12:45:00,166.2969
2020-01-13 12:46:00,179.8989
2020-01-13 12:47:00,194.9378
2020-01-13 12:48:00,187.9128
2020-01-13 12:49:00,157.1616
2020-01-13 12:50:00,109.2553
2020-01-13 12:51:00,141.4558
2020-01-13 12:52:00,155.6789
2020-01-13 12:53:00,153.1184
2020-01-13 12:54:00,150.8776
2020-01-13 12:55:00,141.6853
2020-01-13 12:56:00,130.6634
2020-01-13 12:57:00,136.7419
2020-01-13 12:58:00,131.9261
2020-01-13 12:59:00,121.2095
2020-01-13 13:00:00,92.6007
2020-01-13 13:01:00,83.1399
2020-01-13 13:02:00,87.0415
2020-01-13 13:03:00,62.8621
2020-01-13 13:04:00,49.632
2020-01-13 13:05:00,31.0275
2020-01-13 13:06:00,25.7706
2020-01-13 13:07:00,35.6672
2020-01-13 13:08:00,57.116
