date,EMA
2020-01-13 09:38:00,312.6877
2020-01-13 09:39:00,312.7238
2020-01-13 09:40:00,312.7118
2020-01-13 09:41:00,312.5917
2020-01-13 09:42:00,312.542
2020-01-13 09:43:00,312.4795
2020-01-13 09:44:00,312.4785
2020-01-13 09:45:00,312.4988
2020-01-13 09:46:00,312.5769
2020-01-13 09:47:00,312.6331
2020-01-13 09:48:00,312.6635
2020-01-13 09:49:00,312.6561
2020-01-13 09:50:00,312.6823
2020-01-13 09:51:00,312.6696
2020-01-13 09:52:00,312.583
2020-01-13 09:53:00,312.5579
2020-01-13 09:54:00,312.495
2020-01-13 09:55:00,312.4428
2020-01-13 09:56:00,312.4555
2020-01-13 09:57:00,312.5098
2020-01-13 09:58:00,312.5743
2020-01-13 09:59:00,312.6623
2020-01-13 10:00:00,312.7195
2020-01-13 10:01:00,312.753
2020-01-13 10:02:00,312.759
2020-01-13 10:03:00,312.6703
2020-01-13 10:04:00,312.6246
2020-01-13 10:05:00,312.5969
2020-01-13 10:06:00,312.5347
2020-01-13 10:07:00,312.4233
2020-01-13 10:08:00,312.3626
2020-01-13 10:09:00,312.3087
2020-01-13 10:10:00,312.2401
2020-01-13 10:11:00,312.2023
2020-01-13 10:12:00,312.1751
2020-01-13 10:13:00,312.1829
2020-01-13 10:14:00,312.1665
2020-01-13 10:15:00,312.1384
2020-01-13 10:16:00,312.1477
2020-01-13 10:17:00,312.1793
2020-01-13 10:18:00,312.2171
2020-01-13 10:19:00,312.1844
2020-01-13 10:20:00,312.1464
2020-01-13 10:21:00,312.0761
2020-01-13 10:22:00,312.0392
2020-01-13 10:23:00,312.0394
2020-01-13 10:24:00,312.0684
2020-01-13 10:25:00,312.0865
2020-01-13 10:26:00,312.0806
2020-01-13 10:27:00,312.0672
2020-01-13 10:28:00,312.0478
2020-01-13 10:29:00,312.0328
2020-01-13 10:30:00,312.003
2020-01-13 10:31:00,311.9712
2020-01-13 10:32:00,311.8973
2020-01-13 10:33:00,311.8768
2020-01-13 10:34:00,311.8553
2020-01-13 10:35:00,311.8163
2020-01-13 10:36:00,311.7816
2020-01-13 10:37:00,311.779
2020-01-13 10:38:00,311.7992
2020-01-13 10:39:00,311.7966
2020-01-13 10:40:00,311.7684
2020-01-13 10:41:00,311.7532
2020-01-13 10:42:00,311.7318
2020-01-13 10:43:00,311.68
2020-01-13 10:44:00,311.6318
2020-01-13 10:45:00,311.5647
2020-01-13 10:46:00,311.4881
2020-01-13 10:47:00,311.4763
2020-01-13 10:48:00,311.4594
2020-01-13 10:49:00,311.5039
2020-01-13 10:50:00,311.5631
2020-01-13 10:51:00,311.5868
2020-01-13 10:52:00,311.6564
2020-01-13 10:53:00,311.7192
2020-01-13 10:54:00,311.786
2020-01-13 10:55:00,311.8325
2020-01-13 10:56:00,311.863
2020-01-13 10:57:00,311.8934
2020-01-13 10:58:00,311.9282
2020-01-13 10:59:00,311.9506
2020-01-13 11:04:00,311.9194
2020-01-13 11:05:00,311.9106
2020-01-13 11:06:00,311.8683
2020-01-13 11:07:00,311.8464
2020-01-13 11:08:00,311.805
2020-01-13 11:09:00,311.7417
2020-01-13 11:10:00,311.7451
2020-01-13 11:11:00,311.7329
2020-01-13 11:12:00,311.7497
2020-01-13 11:13:00,311.7698
2020-01-13 11:14:00,311.7676
2020-01-13 11:15:00,311.7581
2020-01-13 11:16:00,311.8003
2020-01-13 11:17:00,311.836
2020-01-13 11:18:00,311.8613
2020-01-13 11:19:00,311.8632
2020-01-13 11:20:00,311.867
2020-01-13 11:21:00,311.8899
2020-01-13 11:22:00,311.8899
2020-01-13 11:23:00,311.8953
2020-01-13 11:24:00,311.8963
2020-01-13 11:25:00,311.8945
2020-01-13 11:26:00,311.8557
2020-01-13 11:27:00,311.8322
2020-01-13 11:28:00,311.8495
2020-01-13 11:29:00,311.8407
2020-01-13 11:30:00,311.925
2020-01-13 11:31:00,312.0283
2020-01-13 11:32:00,312.1665
2020-01-13 11:33:00,312.2362
2020-01-13 11:34:00,312.2748
2020-01-13 11:35:00,312.2893
2020-01-13 11:36:00,312.325
2020-01-13 11:37:00,312.335
2020-01-13 11:38:00,312.3572
2020-01-13 11:39:00,312.3533
2020-01-13 11:40:00,312.3537
2020-01-13 11:41:00,312.3351
2020-01-13 11:42:00,312.3272
2020-01-13 11:43:00,312.3256
2020-01-13 11:44:00,312.3453
2020-01-13 11:45:00,312.3596
2020-01-13 11:46:00,312.3753
2020-01-13 11:47:00,312.4052
2020-01-13 11:48:00,312.4443
2020-01-13 11:49:00,312.5218
2020-01-13 11:50:00,312.5682
2020-01-13 11:51:00,312.5796
2020-01-13 11:52:00,312.5951
2020-01-13 11:53:00,312.6027
2020-01-13 11:54:00,312.591
2020-01-13 11:57:00,312.5508
2020-01-13 11:58:00,312.5374
2020-01-13 11:59:00,312.5583
2020-01-13 12:00:00,312.6102
2020-01-13 12:01:00,312.6645
2020-01-13 12:02:00,312.7145
2020-01-13 12:03:00,312.739
2020-01-13 12:04:00,312.7593
2020-01-13 12:05:00,312.762
2020-01-13 12:06:00,312.7443
2020-01-13 12:07:00,312.7389
2020-01-13 12:08:00,312.7291
2020-01-13 12:09:00,312.7186
2020-01-13 12:10:00,312.7213
2020-01-13 12:11:00,312.7434
2020-01-13 12:12:00,312.7449
2020-01-13 12:13:00,312.7435
2020-01-13 12:14:00,312.7135
2020-01-13 12:15:00,312.7239
2020-01-13 12:16:00,312.6909
2020-01-13 12:17:00,312.6729
2020-01-13 12:18:00,312.6678
2020-01-13 12:19:00,312.6388
2020-01-13 12:20:00,312.6124
2020-01-13 12:21:00,312.6167
2020-01-13 12:22:00,312.6041
2020-01-13 12:23:00,312.591
2020-01-13 12:24:00,312.5636
2020-01-13 12:25:00,312.5562
2020-01-13 12:26:00,312.5559
2020-01-13 12:27:00,312.539
2020-01-13 12:28:00,312.5326
2020-01-13 12:29:00,312.5476
2020-01-13 12:30:00,312.5603
2020-01-13 12:31:00,312.6111
2020-01-13 12:32:00,312.6483
2020-01-13 12:33:00,312.6798
2020-01-13 12:34:00,312.7345
2020-01-13 12:35:00,312.7779
2020-01-13 12:36:00,312.8077
2020-01-13 12:37:00,312.8615
2020-01-13 12:38:00,312.9078
2020-01-13 12:39:00,312.9417
2020-01-13 12:40:00,312.9566
2020-01-13 12:41:00,312.9676
2020-01-13 12:42:00,312.9712
2020-01-13 12:43:00,312.9799
2020-01-13 12:44:00,312.9954
2020-01-13 12:45:00,313.0209
2020-01-13 12:46:00,313.0563
2020-01-13 12:47:00,313.0837
2020-01-13 12:48:00,313.1173
2020-01-13 12:49:00,313.1179
2020-01-13 12:50:00,313.0984
2020-01-13 12:51:00,313.121
2020-01-13 12:52:00,313.1452
2020-01-13 12:53:00,313.1666
2020-01-13 12:54:00,313.1762
2020-01-13 12:55:00,313.1971
2020-01-13 12:56:00,313.2066
2020-01-13 12:57:00,313.2274
2020-01-13 12:58:00,313.2345
