date,SlowD,SlowK
2020-06-15 13:58:00,73.2941,62.939
2020-06-15 13:57:00,82.8516,74.3675
2020-06-15 13:56:00,85.8217,82.5759
2020-06-15 13:55:00,78.1192,91.6114
2020-06-15 13:54:00,59.9973,83.2779
2020-06-15 13:53:00,42.4256,59.4683
2020-06-15 13:52:00,34.016,37.2458
2020-06-15 13:51:00,33.3691,30.5626
2020-06-15 13:50:00,34.9454,34.2395
2020-06-15 13:49:00,32.2894,35.3052
2020-06-15 13:48:00,27.46,35.2915
2020-06-15 13:47:00,26.5341,26.2715
2020-06-15 13:46:00,30.9325,20.8169
2020-06-15 13:45:00,39.7417,32.5139
2020-06-15 13:44:00,44.8371,39.4668
2020-06-15 13:43:00,43.9037,47.2446
2020-06-15 13:42:00,35.563,47.8
2020-06-15 13:41:00,23.9506,36.6666
2020-06-15 13:40:00,18.5186,22.2222
2020-06-15 13:39:00,17.9013,12.9631
2020-06-15 13:38:00,18.5186,20.3704
2020-06-15 13:37:00,19.1358,20.3704
2020-06-15 13:36:00,24.6913,14.8148
2020-06-15 13:35:00,33.3333,22.2222
2020-06-15 13:34:00,43.4568,37.0369
2020-06-15 13:33:00,52.4339,40.7407
2020-06-15 13:32:00,61.4111,52.5926
2020-06-15 13:31:00,61.6513,63.9684
2020-06-15 13:30:00,51.9335,67.6722
2020-06-15 13:29:00,37.2651,53.3133
2020-06-15 13:28:00,24.8576,34.8151
2020-06-15 13:27:00,16.9009,23.667
2020-06-15 13:26:00,16.3273,16.0908
2020-06-15 13:25:00,20.8093,10.9449
2020-06-15 13:24:00,29.9479,21.9461
2020-06-15 13:23:00,38.1671,29.5368
2020-06-15 13:22:00,50.5345,38.3608
2020-06-15 13:21:00,67.1959,46.6038
2020-06-15 13:20:00,81.5535,66.6388
2020-06-15 13:19:00,88.1693,88.3452
2020-06-15 13:18:00,82.8843,89.6765
2020-06-15 13:17:00,80.1757,86.4862
2020-06-15 13:16:00,79.7959,72.4902
2020-06-15 13:15:00,87.5978,81.5507
2020-06-15 13:14:00,91.381,85.3469
2020-06-15 13:13:00,92.6333,95.8957
2020-06-15 13:12:00,87.1595,92.9003
2020-06-15 13:11:00,78.1372,89.1039
2020-06-15 13:10:00,67.0074,79.4742
2020-06-15 13:09:00,58.7382,65.8334
2020-06-15 13:08:00,52.635,55.7144
2020-06-15 13:07:00,45.9366,54.6668
2020-06-15 13:06:00,41.6032,47.5237
2020-06-15 13:05:00,43.9762,35.6192
2020-06-15 13:04:00,56.2697,41.6666
2020-06-15 13:03:00,61.0197,54.6428
2020-06-15 13:02:00,63.2035,72.4998
2020-06-15 13:01:00,58.5091,55.9166
2020-06-15 13:00:00,64.5615,61.1942
2020-06-15 12:59:00,68.8548,58.4164
2020-06-15 12:58:00,77.0185,74.0739
2020-06-15 12:57:00,81.1977,74.0741
2020-06-15 12:56:00,85.1916,82.9075
2020-06-15 12:55:00,81.3893,86.6114
2020-06-15 12:54:00,68.7598,86.0559
2020-06-15 12:53:00,52.797,71.5005
2020-06-15 12:52:00,45.0751,48.723
2020-06-15 12:51:00,49.3158,38.1677
2020-06-15 12:50:00,59.8527,48.3346
2020-06-15 12:49:00,69.2227,61.4452
2020-06-15 12:48:00,79.2966,69.7783
2020-06-15 12:47:00,89.3334,76.4445
2020-06-15 12:46:00,93.8426,91.6669
2020-06-15 12:45:00,90.4998,99.8887
2020-06-15 12:44:00,84.4166,89.9721
2020-06-15 12:43:00,84.9445,81.6386
2020-06-15 12:42:00,84.1669,81.6391
2020-06-15 12:41:00,73.7037,91.5557
2020-06-15 12:40:00,48.8238,79.3058
2020-06-15 12:39:00,26.7034,50.2495
2020-06-15 12:38:00,12.8795,16.9162
2020-06-15 12:37:00,17.5497,12.9443
2020-06-15 12:36:00,28.0374,8.778
2020-06-15 12:35:00,49.7905,30.9266
2020-06-15 12:34:00,62.3519,44.4077
2020-06-15 12:33:00,68.5739,74.0372
2020-06-15 12:32:00,58.2335,68.6107
2020-06-15 12:31:00,48.0166,63.0739
2020-06-15 12:30:00,36.8492,43.0158
2020-06-15 12:29:00,31.9552,37.9603
2020-06-15 12:28:00,30.413,29.5716
2020-06-15 12:27:00,35.2504,28.3337
2020-06-15 12:26:00,46.0281,33.3337
2020-06-15 12:25:00,57.917,44.0836
2020-06-15 12:24:00,62.0614,60.6669
2020-06-15 12:23:00,59.4211,69.0004
2020-06-15 12:22:00,52.0187,56.517
2020-06-15 12:21:00,54.5139,52.7459
2020-06-15 12:20:00,59.2133,46.7932
2020-06-15 12:19:00,65.5039,64.0027
2020-06-15 12:18:00,64.0514,66.8439
2020-06-15 12:17:00,60.5612,65.6651
2020-06-15 12:16:00,55.0538,59.6451
2020-06-15 12:15:00,53.0614,56.3734
2020-06-15 12:14:00,48.9828,49.1429
2020-06-15 12:13:00,45.3211,53.6679
2020-06-15 12:12:00,34.9573,44.1377
2020-06-15 12:11:00,25.7085,38.1577
2020-06-15 12:10:00,19.1225,22.5764
2020-06-15 12:09:00,18.5747,16.3914
2020-06-15 12:08:00,22.4664,18.3997
2020-06-15 12:07:00,30.8739,20.933
2020-06-15 12:06:00,46.3852,28.0665
2020-06-15 12:05:00,58.1964,43.6223
2020-06-15 12:04:00,64.0816,67.4669
2020-06-15 12:03:00,56.5556,63.5002
2020-06-15 12:02:00,53.1851,61.2778
2020-06-15 12:01:00,52.222,44.8888
2020-06-15 12:00:00,57.8145,53.3887
2020-06-15 11:59:00,59.7801,58.3885
2020-06-15 11:58:00,56.8613,61.6663
2020-06-15 11:57:00,50.2759,59.2854
2020-06-15 11:56:00,45.8609,49.6324
2020-06-15 11:55:00,41.2574,41.9099
2020-06-15 11:54:00,37.9886,46.0405
2020-06-15 11:53:00,28.4388,35.8219
2020-06-15 11:52:00,20.5996,32.1035
2020-06-15 11:51:00,15.3136,17.3909
2020-06-15 11:50:00,20.3639,12.3044
2020-06-15 11:49:00,33.7624,16.2454
2020-06-15 11:48:00,48.3472,32.5418
2020-06-15 11:47:00,59.1527,52.5
2020-06-15 11:46:00,66.3611,59.9998
2020-06-15 11:45:00,73.9267,64.9583
2020-06-15 11:44:00,80.4088,74.1252
2020-06-15 11:43:00,83.0019,82.6966
2020-06-15 11:42:00,73.214,84.4046
2020-06-15 11:41:00,59.5235,81.9044
2020-06-15 11:40:00,41.0442,53.3331
2020-06-15 11:39:00,38.7553,43.333
2020-06-15 11:38:00,37.948,26.4665
2020-06-15 11:37:00,45.0241,46.4665
2020-06-15 11:36:00,42.0725,40.9111
2020-06-15 11:35:00,38.1609,47.6947
2020-06-15 11:34:00,31.5915,37.6118
2020-06-15 11:33:00,28.9079,29.1763
2020-06-15 11:32:00,34.0781,27.9865
2020-06-15 11:31:00,41.3152,29.5609
2020-06-15 11:30:00,54.2981,44.6868
2020-06-15 11:29:00,65.9163,49.6979
2020-06-15 11:28:00,76.4513,68.5096
2020-06-15 11:27:00,72.448,79.5414
2020-06-15 11:26:00,60.7119,81.303
2020-06-15 11:25:00,47.2497,56.4997
2020-06-15 11:24:00,42.5553,44.333
2020-06-15 11:23:00,37.4832,40.9163
2020-06-15 11:22:00,28.6128,42.4165
2020-06-15 11:21:00,16.9294,29.1168
2020-06-15 11:20:00,13.0463,14.3051
2020-06-15 11:19:00,20.0081,7.3665
2020-06-15 11:18:00,38.5813,17.4675
2020-06-15 11:17:00,58.6622,35.1904
2020-06-15 11:16:00,75.139,63.086
2020-06-15 11:15:00,80.079,77.7102
2020-06-15 11:14:00,80.8811,84.6206
2020-06-15 11:13:00,76.6461,77.906
2020-06-15 11:12:00,74.9513,80.1167
2020-06-15 11:11:00,67.127,71.9156
2020-06-15 11:10:00,63.8882,72.8216
2020-06-15 11:09:00,64.0758,56.6437
2020-06-15 11:08:00,74.6698,62.1993
2020-06-15 11:07:00,83.3775,73.3843
2020-06-15 11:06:00,84.1902,88.4259
2020-06-15 11:05:00,76.4272,88.3223
2020-06-15 11:04:00,63.0863,75.8223
2020-06-15 11:03:00,46.9676,65.1371
2020-06-15 11:02:00,30.7193,48.2995
2020-06-15 11:01:00,17.1024,27.4662
2020-06-15 11:00:00,11.0448,16.3921
2020-06-15 10:59:00,6.2093,7.449
2020-06-15 10:58:00,9.8966,9.2932
2020-06-15 10:57:00,23.4655,1.8858
2020-06-15 10:56:00,44.5541,18.5108
2020-06-15 10:55:00,60.1009,50.0
2020-06-15 10:54:00,56.818,65.1515
2020-06-15 10:53:00,49.607,65.1514
2020-06-15 10:52:00,44.2479,40.1513
2020-06-15 10:51:00,52.7777,43.5184
2020-06-15 10:50:00,65.1234,49.074
2020-06-15 10:49:00,77.7337,65.7407
2020-06-15 10:48:00,81.2168,80.5555
2020-06-15 10:47:00,72.1586,86.9047
2020-06-15 10:45:00,55.9046,76.1903
2020-06-15 10:44:00,44.113,53.3808
2020-06-15 10:43:00,46.151,38.1428
2020-06-15 10:42:00,59.2536,40.8154
2020-06-15 10:41:00,67.3681,59.4947
2020-06-15 10:40:00,64.65,77.4505
2020-06-15 10:39:00,47.4777,65.1589
2020-06-15 10:38:00,34.9785,51.3404
2020-06-15 10:36:00,24.2739,25.9337
2020-06-15 10:35:00,21.0042,27.6612
2020-06-15 10:34:00,19.7317,19.2268
2020-06-15 10:33:00,25.5967,16.1245
2020-06-15 10:32:00,42.6802,23.8437
2020-06-15 10:31:00,63.5973,36.8218
2020-06-15 10:30:00,84.6567,67.3751
2020-06-15 10:29:00,89.1825,86.595
2020-06-15 10:28:00,78.5793,100.0
2020-06-15 10:27:00,55.7301,80.9524
2020-06-15 10:26:00,37.8015,54.7857
2020-06-15 10:25:00,28.134,31.4523
2020-06-15 10:24:00,27.7545,27.1666
2020-06-15 10:23:00,31.2728,25.7831
2020-06-15 10:22:00,40.1056,30.3138
2020-06-15 10:21:00,49.0917,37.7216
2020-06-15 10:20:00,59.6348,52.2813
2020-06-15 10:19:00,65.8732,57.2723
2020-06-15 10:18:00,73.5855,69.3507
2020-06-15 10:17:00,77.675,70.9966
2020-06-15 10:16:00,82.368,80.4091
2020-06-15 10:15:00,83.5267,81.6192
2020-06-15 10:14:00,84.2351,85.0756
2020-06-15 10:13:00,84.754,83.8851
2020-06-15 10:12:00,84.7553,83.7444
2020-06-15 10:11:00,82.2571,86.6325
2020-06-15 10:10:00,74.3889,83.8889
2020-06-15 10:09:00,66.0608,76.25
2020-06-15 10:08:00,59.0688,63.0277
2020-06-15 10:07:00,56.2447,58.9046
2020-06-15 10:06:00,53.5932,55.2741
2020-06-15 10:05:00,50.6646,54.5556
2020-06-15 10:04:00,45.647,50.9499
2020-06-15 10:03:00,37.9262,46.4882
2020-06-15 10:02:00,29.0178,39.503
2020-06-15 10:01:00,23.9825,27.7874
2020-06-15 10:00:00,22.6117,19.763
2020-06-15 09:59:00,23.8078,24.3972
2020-06-15 09:58:00,21.6785,23.675
2020-06-15 09:57:00,19.4135,23.3511
2020-06-15 09:56:00,20.6393,18.0094
2020-06-15 09:55:00,25.3417,16.8798
2020-06-15 09:54:00,29.1861,27.0287
2020-06-15 09:53:00,25.6544,32.1166
2020-06-15 09:52:00,18.046,28.4129
2020-06-15 09:51:00,15.2938,16.4336
2020-06-15 09:50:00,22.5308,9.2915
2020-06-15 09:49:00,38.9333,20.1564
2020-06-15 09:48:00,53.2776,38.1446
2020-06-15 09:47:00,65.1924,58.4988
2020-06-15 09:46:00,70.7449,63.1895
2020-06-15 09:45:00,75.9191,73.8889
2020-06-15 09:44:00,75.7586,75.1563
2020-06-15 09:43:00,76.9755,78.7121
2020-06-15 09:42:00,80.1192,73.4075
2020-06-15 09:41:00,86.0058,78.8068
2020-06-15 09:40:00,86.4815,88.1435
2020-06-15 09:39:00,78.1817,91.0672
2020-06-15 09:38:00,61.8063,80.2338
2020-06-15 09:37:00,44.8752,63.2441
2020-06-15 09:36:00,30.9576,41.9408
2020-06-15 09:35:00,21.1002,29.4408
2020-06-15 09:34:00,18.8044,21.4912
2020-06-15 09:33:00,21.0193,12.3684
2020-06-15 09:32:00,29.8033,22.5536
2020-06-15 09:31:00,31.2417,28.1358
2020-06-12 16:00:00,27.8112,38.7206
2020-06-12 15:59:00,21.571,26.8687
2020-06-12 15:58:00,23.948,17.8444
2020-06-12 15:57:00,38.5887,19.9998
2020-06-12 15:56:00,57.7739,33.9998
2020-06-12 15:55:00,76.5147,61.7665
2020-06-12 15:54:00,82.2777,77.5555
2020-06-12 15:53:00,79.574,90.2222
2020-06-12 15:52:00,61.5369,79.0554
2020-06-12 15:51:00,47.9257,69.4442
2020-06-12 15:50:00,36.5923,36.1109
2020-06-12 15:49:00,41.9256,38.222
2020-06-12 15:48:00,49.1487,35.4441
2020-06-12 15:47:00,62.8534,52.1107
2020-06-12 15:46:00,74.1738,59.8913
2020-06-12 15:45:00,85.02,76.5581
2020-06-12 15:44:00,88.7234,86.0718
2020-06-12 15:43:00,91.4177,92.4301
2020-06-12 15:42:00,90.7426,87.6683
2020-06-12 15:41:00,91.77,94.1548
2020-06-12 15:40:00,85.3296,90.4049
2020-06-12 15:39:00,78.7226,90.7503
2020-06-12 15:38:00,70.9726,74.8337
2020-06-12 15:37:00,68.6114,70.5837
2020-06-12 15:36:00,65.1085,67.5003
2020-06-12 15:35:00,59.5501,67.7503
2020-06-12 15:34:00,50.2416,60.075
2020-06-12 15:33:00,37.7667,50.8249
2020-06-12 15:32:00,24.8473,39.8249
2020-06-12 15:31:00,17.3354,22.6502
2020-06-12 15:30:00,23.5706,12.0669
2020-06-12 15:29:00,41.3336,17.2892
2020-06-12 15:28:00,64.7261,41.3558
2020-06-12 15:27:00,82.7928,65.3558
2020-06-12 15:26:00,90.2668,87.4668
2020-06-12 15:25:00,86.7039,95.5557
2020-06-12 15:24:00,77.9137,87.7779
2020-06-12 15:23:00,72.6423,76.778
2020-06-12 15:22:00,71.9263,69.1854
2020-06-12 15:21:00,74.7906,71.9634
2020-06-12 15:20:00,78.1143,74.6301
2020-06-12 15:19:00,81.9379,77.7783
2020-06-12 15:18:00,86.2862,81.9344
2020-06-12 15:17:00,90.6414,86.101
2020-06-12 15:16:00,91.293,90.8231
2020-06-12 15:15:00,85.0649,95.0002
2020-06-12 15:14:00,66.3334,88.0556
2020-06-12 15:13:00,46.1882,72.139
2020-06-12 15:12:00,34.0488,38.8056
2020-06-12 15:11:00,40.4279,27.6201
2020-06-12 15:10:00,56.1495,35.7206
2020-06-12 15:09:00,70.2022,57.9428
2020-06-12 15:08:00,80.529,74.7849
2020-06-12 15:07:00,86.5044,77.8788
2020-06-12 15:06:00,90.5504,88.9233
2020-06-12 15:05:00,88.1038,92.7113
2020-06-12 15:04:00,82.4809,90.0168
2020-06-12 15:03:00,77.7284,81.5833
2020-06-12 15:02:00,73.3425,75.8425
2020-06-12 15:01:00,67.7561,75.7592
2020-06-12 15:00:00,58.3085,68.4259
2020-06-12 14:59:00,45.4721,59.0832
2020-06-12 14:58:00,32.0739,47.4165
2020-06-12 14:57:00,21.8239,29.9166
2020-06-12 14:56:00,17.4628,18.8888
2020-06-12 14:55:00,22.3331,16.6665
2020-06-12 14:54:00,32.2961,16.833
2020-06-12 14:53:00,50.075,33.4998
2020-06-12 14:52:00,65.3724,46.5554
2020-06-12 14:51:00,78.3957,70.1698
2020-06-12 14:50:00,83.9608,79.392
2020-06-12 14:49:00,87.0815,85.6252
2020-06-12 14:48:00,85.3985,86.8651
2020-06-12 14:47:00,79.4805,88.7541
2020-06-12 14:46:00,67.5196,80.5763
2020-06-12 14:45:00,54.2107,69.111
2020-06-12 14:44:00,41.1309,52.8716
2020-06-12 14:43:00,27.8033,40.6493
2020-06-12 14:42:00,15.5868,29.8718
2020-06-12 14:41:00,7.6606,12.8888
2020-06-12 14:40:00,14.0375,3.9999
2020-06-12 14:39:00,29.7523,6.0931
2020-06-12 14:38:00,51.8344,32.0196
2020-06-12 14:37:00,65.3378,51.1442
2020-06-12 14:36:00,76.8322,72.3395
2020-06-12 14:35:00,79.5172,72.5298
2020-06-12 14:34:00,76.2017,85.6275
2020-06-12 14:33:00,59.6535,80.3944
2020-06-12 14:32:00,43.4609,62.5831
2020-06-12 14:31:00,32.622,35.9831
2020-06-12 14:30:00,38.1276,31.8164
2020-06-12 14:29:00,45.0221,30.0665
2020-06-12 14:28:00,55.8332,52.4998
2020-06-12 14:27:00,53.4444,52.4999
2020-06-12 14:26:00,52.537,62.4999
2020-06-12 14:25:00,47.1851,45.3333
2020-06-12 14:24:00,49.111,49.7776
2020-06-12 14:23:00,47.4073,46.4443
2020-06-12 14:22:00,42.9258,51.111
2020-06-12 14:21:00,42.4442,44.6666
2020-06-12 14:20:00,43.8517,32.9997
2020-06-12 14:19:00,57.8332,49.6664
2020-06-12 14:18:00,62.5555,48.8888
2020-06-12 14:17:00,69.2407,74.9444
2020-06-12 14:16:00,63.574,63.8333
2020-06-12 14:15:00,63.4629,68.9444
2020-06-12 14:14:00,55.337,57.9444
2020-06-12 14:13:00,46.6369,63.4999
2020-06-12 14:12:00,31.2924,44.5665
2020-06-12 14:11:00,30.8124,31.8442
2020-06-12 14:10:00,41.1763,17.4664
2020-06-12 14:09:00,62.9774,43.1265
2020-06-12 14:08:00,78.7606,62.9361
2020-06-12 14:07:00,88.893,82.8695
2020-06-12 14:06:00,89.6032,90.4762
2020-06-12 14:05:00,79.3889,93.3334
2020-06-12 14:04:00,61.1853,85.0
2020-06-12 14:03:00,46.3149,59.8334
2020-06-12 14:02:00,47.7778,38.7223
2020-06-12 14:01:00,63.337,40.389
2020-06-12 14:00:00,79.5326,64.2222
2020-06-12 13:59:00,77.1356,85.3999
2020-06-12 13:58:00,58.7684,88.9757
2020-06-12 13:57:00,29.3136,57.0313
2020-06-12 13:56:00,12.0217,30.2981
2020-06-12 13:55:00,4.4187,0.6113
2020-06-12 13:54:00,12.0816,5.1557
2020-06-12 13:53:00,22.2518,7.489
2020-06-12 13:52:00,30.8664,23.6
2020-06-12 13:51:00,32.9996,35.6663
2020-06-12 13:50:00,30.5331,33.3329
2020-06-12 13:49:00,37.7333,29.9997
2020-06-12 13:48:00,50.4891,28.2668
2020-06-12 13:47:00,62.5117,54.9335
2020-06-12 13:46:00,58.1454,68.2669
2020-06-12 13:45:00,40.5011,64.3347
2020-06-12 13:44:00,22.7273,41.8345
2020-06-12 13:43:00,12.1757,15.3342
2020-06-12 13:42:00,12.6243,11.0131
