date,1. open,2. high,3. low,4. close,5. volume
2020-01-13 09:31:00,493.5097,498.3919,492.3872,498.0098,1234423.0
2020-01-13 09:32:00,497.855,498.8,496.92,497.019,343444.0
2020-01-13 09:33:00,497.1437,502.8167,497.0714,501.328,444891.0
2020-01-13 09:34:00,501.1482,503.4256,500.8133,502.5882,295364.0
2020-01-13 09:35:00,500.8123,500.9065,500.8123,500.9065,265900.0
2020-01-13 09:36:00,501.9295,501.9295,500.764,500.764,167781.0
2020-01-13 09:37:00,501.02,501.02,500.2,500.2,232703.0
2020-01-13 09:38:00,500.655,502.2,500.655,502.2,171749.0
2020-01-13 09:39:00,502.03,502.33,502.03,502.33,148242.0
2020-01-13 09:40:00,502.25,502.25,501.3865,501.3865,139395.0
2020-01-13 09:41:00,500.18,500.21,500.18,500.21,145132.0
2020-01-13 09:42:00,500.2,500.2,498.3995,498.3995,137610.0
2020-01-13 09:43:00,497.39,498.93,497.39,498.93,171483.0
2020-01-13 09:44:00,498.7871,498.855,498.435,498.855,94941.0
2020-01-13 09:45:00,498.73,498.73,498.73,498.73,14854.0
2020-01-13 09:46:00,500.8335,500.8335,500.5082,500.5082,249428.0
2020-01-13 09:47:00,500.0,500.0,499.5,499.5,85782.0
2020-01-13 09:48:00,499.4386,499.4386,498.98,498.98,102079.0
2020-01-13 09:49:00,499.13,500.0,499.13,500.0,80817.0
2020-01-13 09:50:00,499.5436,500.528,499.3475,499.4686,54990.0
2020-01-13 09:51:00,499.443,500.0441,496.7248,497.1508,180773.0
2020-01-13 09:52:00,497.06,499.0,496.84,498.9799,94522.0
2020-01-13 09:53:00,498.83,499.5,498.4,498.84,48160.0
2020-01-13 09:54:00,498.71,499.0,498.0436,498.47,60139.0
2020-01-13 09:55:00,498.5212,499.8,497.7297,497.855,68091.0
2020-01-13 09:56:00,497.827,498.79,497.8,498.0566,48089.0
2020-01-13 09:57:00,498.245,499.4,498.245,498.9105,79031.0
2020-01-13 09:58:00,499.0,501.0,498.62,501.0,177438.0
2020-01-13 09:59:00,500.9348,501.3543,500.2734,500.4298,96365.0
2020-01-13 10:00:00,500.59,501.53,499.56,500.97,139960.0
2020-01-13 10:01:00,501.0032,501.8783,500.5045,501.0443,71809.0
2020-01-13 10:02:00,501.0,502.1,501.0,501.6671,157321.0
2020-01-13 10:03:00,501.775,502.0,501.23,501.44,53679.0
2020-01-13 10:04:00,501.6019,502.93,501.36,502.8677,114981.0
2020-01-13 10:05:00,502.8782,503.4256,502.735,502.8212,90109.0
2020-01-13 10:06:00,502.84,504.47,502.73,504.3928,205535.0
2020-01-13 10:07:00,504.7473,504.88,503.66,504.0095,168358.0
2020-01-13 10:08:00,503.89,504.65,503.5,504.39,94855.0
2020-01-13 10:09:00,504.5061,504.95,504.4832,504.7797,122949.0
2020-01-13 10:10:00,504.7333,505.2311,503.7226,503.9633,101985.0
2020-01-13 10:11:00,503.76,504.32,503.54,504.06,51440.0
2020-01-13 10:12:00,504.22,504.5977,503.0,503.3554,80315.0
2020-01-13 10:13:00,503.4573,504.16,503.2715,504.16,53058.0
2020-01-13 10:14:00,504.065,504.48,503.83,504.357,59848.0
2020-01-13 10:15:00,504.48,504.5,503.5,503.665,44634.0
2020-01-13 10:16:00,503.5277,504.3,503.5277,504.26,46011.0
2020-01-13 10:17:00,504.26,504.8,504.07,504.5379,88574.0
2020-01-13 10:18:00,504.575,504.88,503.6,503.9211,74755.0
2020-01-13 10:19:00,504.01,504.44,502.65,503.03,102984.0
2020-01-13 10:20:00,503.1995,503.94,502.85,502.89,50269.0
2020-01-13 10:21:00,502.9188,503.5314,502.7707,502.8988,49286.0
2020-01-13 10:22:00,502.75,502.95,501.81,502.19,78515.0
2020-01-13 10:23:00,502.4989,503.29,502.22,503.21,47606.0
2020-01-13 10:24:00,503.1571,503.56,503.029,503.2835,42669.0
2020-01-13 10:25:00,503.1601,503.34,502.7601,503.27,45248.0
2020-01-13 10:26:00,503.3109,503.7822,503.1516,503.2102,30232.0
2020-01-13 10:27:00,503.2993,503.34,502.5,502.84,31740.0
2020-01-13 10:28:00,502.89,503.825,502.73,503.16,62927.0
2020-01-13 10:29:00,503.26,504.3,503.0,504.0544,69025.0
2020-01-13 10:30:00,504.06,504.59,504.02,504.45,65774.0
2020-01-13 10:31:00,504.263,504.75,504.25,504.6,64001.0
2020-01-13 10:32:00,504.45,504.7,504.13,504.615,47488.0
2020-01-13 10:33:00,504.71,504.88,504.29,504.38,43594.0
2020-01-13 10:34:00,504.5111,504.9802,503.4839,503.9711,57121.0
2020-01-13 10:35:00,503.9164,504.34,503.61,504.01,31049.0
2020-01-13 10:36:00,503.836,505.055,503.8338,504.436,50669.0
2020-01-13 10:37:00,504.455,504.455,503.65,503.8639,49632.0
2020-01-13 10:38:00,503.89,504.19,503.8012,504.09,13000.0
2020-01-13 10:39:00,504.0058,505.0972,504.0013,504.6549,52644.0
2020-01-13 10:40:00,504.645,505.37,504.16,504.37,186894.0
2020-01-13 10:41:00,504.1182,504.6056,502.9352,503.1072,98465.0
2020-01-13 10:42:00,503.2004,503.8,502.8,503.65,43403.0
2020-01-13 10:43:00,503.321,504.0845,503.0835,503.6211,45576.0
2020-01-13 10:44:00,503.61,503.98,502.9,502.9202,36525.0
2020-01-13 10:45:00,502.926,503.7302,502.032,502.276,94415.0
2020-01-13 10:46:00,502.4899,502.73,501.74,502.12,50749.0
2020-01-13 10:47:00,502.13,503.01,501.9452,502.9043,42580.0
2020-01-13 10:48:00,502.93,503.39,502.802,503.06,32493.0
2020-01-13 10:49:00,503.1343,503.4,502.76,503.0938,26221.0
2020-01-13 10:50:00,503.19,503.48,502.7901,502.99,25600.0
2020-01-13 10:51:00,503.02,503.7,502.88,503.58,40320.0
2020-01-13 10:52:00,503.57,503.92,503.48,503.75,27544.0
2020-01-13 10:53:00,503.8411,504.0,503.3,503.76,31677.0
2020-01-13 10:54:00,503.87,503.9,503.335,503.7584,29868.0
2020-01-13 10:55:00,503.77,504.34,503.54,503.7,22805.0
2020-01-13 10:56:00,503.6803,503.77,503.37,503.61,10514.0
2020-01-13 10:57:00,503.4899,504.1765,503.2357,503.7899,28430.0
2020-01-13 10:58:00,503.68,503.8429,503.09,503.15,31508.0
2020-01-13 10:59:00,503.14,503.47,502.7,502.9692,18863.0
2020-01-13 11:04:00,503.5792,503.99,503.5792,503.7354,207424.0
2020-01-13 11:05:00,503.79,504.0,503.53,503.95,39740.0
2020-01-13 11:06:00,503.9857,504.4494,503.8943,503.9211,18930.0
2020-01-13 11:07:00,503.7938,504.05,503.42,503.549,20052.0
2020-01-13 11:08:00,503.62,504.41,503.535,504.37,38471.0
2020-01-13 11:09:00,504.301,504.85,504.22,504.7577,46347.0
2020-01-13 11:10:00,504.7749,505.2473,503.596,503.9562,46775.0
2020-01-13 11:11:00,503.9517,504.5208,503.95,504.5037,26791.0
2020-01-13 11:12:00,504.57,505.0,504.3444,504.81,65995.0
2020-01-13 11:13:00,504.8437,504.9095,504.37,504.7659,48069.0
2020-01-13 11:14:00,504.79,504.98,504.41,504.46,32476.0
2020-01-13 11:15:00,504.59,504.82,504.2001,504.4,23691.0
2020-01-13 11:16:00,504.46,506.0,504.44,505.92,164711.0
2020-01-13 11:17:00,505.95,506.18,505.04,505.46,78062.0
2020-01-13 11:18:00,505.487,506.12,505.14,505.9411,59096.0
2020-01-13 11:19:00,505.9984,506.53,505.55,506.3495,64689.0
2020-01-13 11:20:00,506.4282,506.7,506.1,506.53,71152.0
2020-01-13 11:21:00,506.5895,507.32,506.5895,507.2678,91680.0
2020-01-13 11:22:00,507.24,507.5,507.02,507.11,71603.0
2020-01-13 11:23:00,507.0558,507.27,506.6545,507.1796,54884.0
2020-01-13 11:24:00,507.18,507.42,506.91,507.35,47106.0
2020-01-13 11:25:00,507.31,508.0,507.26,507.88,82541.0
2020-01-13 11:26:00,507.82,508.21,507.5,507.5594,83018.0
2020-01-13 11:27:00,507.6862,507.74,507.5001,507.705,14537.0
2020-01-13 11:28:00,507.54,507.6,507.3,507.37,63772.0
2020-01-13 11:29:00,506.67,506.955,505.8,506.01,94680.0
2020-01-13 11:30:00,506.365,507.19,506.2176,507.085,52407.0
2020-01-13 11:31:00,507.0723,508.25,507.0,508.0755,88796.0
2020-01-13 11:32:00,508.1,508.515,507.4251,507.4251,69648.0
2020-01-13 11:33:00,507.63,508.2069,507.5002,507.87,46809.0
2020-01-13 11:34:00,507.89,508.39,507.89,508.1,47751.0
2020-01-13 11:35:00,508.1283,508.43,508.0,508.3518,46559.0
2020-01-13 11:36:00,508.359,508.48,508.0,508.31,42741.0
2020-01-13 11:37:00,508.3,508.9,508.0375,508.5979,66232.0
2020-01-13 11:38:00,508.7,509.36,508.67,509.3465,86606.0
2020-01-13 11:39:00,509.253,509.85,509.1701,509.7,87426.0
2020-01-13 11:40:00,509.7702,509.88,509.11,509.3,94316.0
2020-01-13 11:41:00,509.26,509.2616,508.6401,509.045,65560.0
2020-01-13 11:42:00,508.98,509.87,508.97,509.6328,73442.0
