date,CCI
2020-01-13 13:10:00,96.6286
2020-01-13 13:11:00,68.7869
2020-01-13 13:12:00,85.6371
2020-01-13 13:13:00,107.9036
2020-01-13 13:14:00,103.3907
2020-01-13 13:15:00,93.7765
2020-01-13 13:16:00,80.0094
2020-01-13 13:17:00,63.102
2020-01-13 13:18:00,84.5336
2020-01-13 13:19:00,96.4448
2020-01-13 13:20:00,130.7926
2020-01-13 13:21:00,231.9503
2020-01-13 13:22:00,285.3074
2020-01-13 13:23:00,264.5799
2020-01-13 13:24:00,234.5145
2020-01-13 13:25:00,213.4142
2020-01-13 13:26:00,208.1393
2020-01-13 13:27:00,205.3637
2020-01-13 13:28:00,225.4096
2020-01-13 13:29:00,226.9964
2020-01-13 13:30:00,233.5423
2020-01-13 13:31:00,233.7938
2020-01-13 13:32:00,234.074
2020-01-13 13:33:00,211.5529
2020-01-13 13:34:00,190.3857
2020-01-13 13:35:00,160.4585
2020-01-13 13:36:00,131.3849
2020-01-13 13:37:00,121.6083
2020-01-13 13:38:00,131.5762
2020-01-13 13:39:00,126.6532
2020-01-13 13:40:00,131.4667
2020-01-13 13:41:00,129.9542
2020-01-13 13:42:00,124.3482
2020-01-13 13:43:00,122.5455
2020-01-13 13:44:00,95.8151
2020-01-13 13:45:00,72.5538
2020-01-13 13:46:00,79.3945
2020-01-13 13:47:00,90.8141
2020-01-13 13:48:00,88.7333
2020-01-13 13:49:00,78.7427
2020-01-13 13:50:00,85.014
2020-01-13 13:51:00,87.2442
2020-01-13 13:52:00,95.3963
2020-01-13 13:53:00,86.6298
2020-01-13 13:54:00,81.2044
2020-01-13 13:55:00,82.9447
2020-01-13 13:56:00,63.5643
2020-01-13 13:57:00,56.7232
2020-01-13 13:58:00,44.8073
2020-01-13 13:59:00,47.6347
2020-01-13 14:00:00,29.731
2020-01-13 14:01:00,28.3731
2020-01-13 14:02:00,13.1584
2020-01-13 14:03:00,-6.3879
2020-01-13 14:04:00,6.7019
2020-01-13 14:05:00,56.4314
2020-01-13 14:06:00,95.8596
2020-01-13 14:07:00,93.0079
2020-01-13 14:08:00,121.0337
2020-01-13 14:09:00,117.8354
2020-01-13 14:10:00,129.2261
2020-01-13 14:11:00,157.5243
2020-01-13 14:12:00,188.7961
2020-01-13 14:13:00,182.9926
2020-01-13 14:14:00,187.3758
2020-01-13 14:15:00,184.6469
2020-01-13 14:16:00,162.2242
2020-01-13 14:17:00,157.2331
2020-01-13 14:18:00,94.795
2020-01-13 14:19:00,103.4664
2020-01-13 14:20:00,92.9786
2020-01-13 14:21:00,105.276
